taxonomy_id,name,parent_id,parent_name
275,General Legal Aid,1,
276,Child Care Expense Assistance,1,
277,Debt Consolidation Services,1,
278,Lawyer Referral Services,1,
279,Mortgage Delinquency and Default Counseling,1,
280,Youth Enrichment Programs,1,
281,Homebuyer/Home Purchase Counseling,1,
282,Housing Discrimination Assistance,1,
283,Occupational Therapy,1,
284,Physical Therapy,1,
285,Speech Therapy,1,
286,Hearing Augmentation Aid Donation Programs,1,
287,Veterans Affairs Medical Centers,3,
288,Sexual Assault Treatment,1,
289,Sexual Assault Counseling,1,
290,Medication Assisted Maintenance Treatment for Opioid Addiction,1,
291,Substance Abuse Intervention Programs,1,
292,Pediatric Neurology,1,
293,Neurology,1,
294,Electroencephalography,1,
295,Mental Health Evaluation,1,
296,Job Search/Placement,1,
297,Head Start Sites,4,
298,Child Care Providers,1,
299,Diabetes Management Clinics,1,
300,Board/Committee Member Volunteer Opportunities,1,
301,Ethnic Advocacy Groups,3,
302,Women's Advocacy Groups,3,
303,Printed Materials,1,
304,Subject Specific Public Awareness/Education,1,
305,Intensive Care,1,
306,Pediatric Cardiology,1,
307,Health/Disability Related Support Groups,3,
308,Pediatric Evaluation,1,
309,Adolescent Medicine,1,
310,Peer Counseling,2,
311,Mental Health Related Support Groups,3,
312,Youth Centers,3,
313,Cooking Classes,1,
314,Healthy Eating Programs,1,
315,Career Counseling,1,
316,Alternative Education,1,
317,School to Work Programs,1,
318,Leadership Development,1,
319,Early Literacy Development Programs,1,
320,Disciplinary Alternative Education Programs,1,
321,Adult In Home Respite Care,1,
322,Adoption Services,1,
323,Parental Visitation Facilitation,1,
324,Runaway/Youth Shelters,3,
325,Home Based Parenting Education,1,
326,Group Homes for Dependent Children,3,
327,Foster Home Placement,1,
328,Issue Advocacy,2,
329,Legislative Advocacy,2,
330,In Home Assistance,1,
331,Staff Development Services,1,
332,Sexual Assault/Incest Support Groups,3,
333,Women's Support Groups,3,
334,Eye Care,1,
335,Skilled Nursing Facilities,3,
336,Geriatric Home Nursing,1,
337,Drop In Centers,3,
338,Supported Living Services for Adults With Disabilities,1,
339,Supportive Housing,3,
340,Supervised Living for Older Youth,1,
341,Home Purchase Listings,1,
342,Credit Counseling,1,
343,First Time Homebuyer Tax Credit Information,1,
344,Air Transportation,1,
345,Early Childhood Education,1,
346,Head Start,4,
347,Suicide Survivors Support Groups,3,
348,City/County Hospitals,3,
349,Local Broadcast Television Stations,3,
350,Pro-Choice Pregnancy Counseling,1,
351,Abortion Expense Assistance,1,
352,Medical Equipment/Supplies,1,
353,Vocational Rehabilitation,1,
354,Speech and Hearing,1,
355,Adult Residential Treatment Facilities,3,
356,Theater Performances,1,
357,Crime Prevention,1,
358,Juvenile Diversion,1,
359,Juvenile Delinquency Diversion Counseling,1,
360,Child Transportation Programs,1,
361,School Clothing,1,
362,Children's Furniture,1,
363,Children's Clothing,1,
364,Occasional Emergency Food Assistance,1,
365,Free School Supplies,1,
366,Homework Help Programs,1,
367,Group Homes for Children and Youth With Disabilities,3,
368,Adult Out of Home Respite Care,1,
369,Children's Out of Home Respite Care,1,
370,Group Residences for Adults With Disabilities,3,
371,GED/High School Equivalency Test Instruction,1,
372,Vocational Education,1,
373,Youth Job Development,1,
374,Ex-Offender Reentry Programs,1,
375,Senior Ride Programs,1,
376,General Expectant/New Parent Assistance Programs,1,
377,Outpatient Mental Health Facilities,3,
378,Educational Testing,1,
379,HIV Post Exposure Prophylaxis Medication,1,
380,HIV Pre-Exposure Prophylaxis Medication,1,
381,Immunizations,1,
382,Vocational Assessment,1,
383,Independent Living Skills Instruction,1,
384,Group Advocacy,2,
385,Social Skills Training,1,
386,Accessibility Information,1,
387,Patient/Family Housing,3,
388,Pro-Life Pregnancy Counseling,1,
389,Diapers,1,
390,Baby Furniture,1,
391,Right to Life Groups,3,
392,Fetal Ultrasound,1,
393,Job Search Resource Centers,3,
394,Unemployment Insurance Benefits Assistance,1,
395,Job Banks,1,
396,Government Information Lines,1,
397,General Clothing Provision,1,
398,Discount Programs,1,
399,Household Goods,1,
400,Sexual Orientation Counseling,1,
401,Thanksgiving Baskets,1,
402,Clothing,1,
403,Health Care Referrals,1,
404,General Medical Care,1,
405,Psychological Testing,1,
406,Child and Adolescent Psychiatry,1,
407,Inpatient Mental Health Facilities,3,
408,Adolescent Psychiatric Inpatient Units,3,
409,Medication Consultation Programs,1,
410,Adult Psychiatry,1,
411,Involuntary Psychiatric Intervention,1,
412,Children's Psychiatric Inpatient Units,3,
413,General Crisis Intervention Hotlines,1,
414,Alcoholism Day Treatment,1,
415,Developmental Assessment,1,
416,Child Care Provider Referrals,1,
417,Wound Clinics,1,
418,Pain Management,1,
419,Breastfeeding Support Programs,1,
420,Birth Orientation Programs,1,
421,Cesarean Birthing Classes,1,
422,Early Pregnancy Classes,1,
423,Disability Related Transportation,1,
424,Crisis Intervention,1,
425,Psychiatric Medication Monitoring,1,
426,Prescription Drugs for Specific Health Conditions,1,
427,Supportive Substance Abuse Services,1,
428,Employment Preparation,1,
429,Housing Search and Information,1,
430,Hospitals,3,
431,Geriatric Psychiatry,1,
432,Childbirth Education,1,
433,Geriatric Assessment,1,
434,Home Health Care,1,
435,Physician Referrals,1,
436,Alcohol Detoxification,1,
437,Drug Detoxification,1,
438,Mental Health Information/Education,1,
439,Eye Screening,1,
440,Sighted Guide Skills Instruction,1,
441,General Arts and Crafts,1,
442,Assisted Living Facilities,3,
443,Independent Living Communities/Complexes,3,
444,Condition Specific Rehabilitation Services,1,
445,Senior Center Bus Services,1,
446,Adult Day Program Centers,3,
447,Nursing Facilities,3,
448,Mediation,2,
449,Children's Hospitals,3,
450,Special Education Assessment,1,
451,Eating Disorders Treatment,1,
452,Swimming/Swimming Lessons,1,
453,Applied Behavioral Analysis,1,
454,Pediatric Feeding Disorders Programs,1,
455,Aquatic Therapy,1,
456,Pediatric Immunology,1,
457,Pediatric Endocrinology,1,
458,Pediatric Rehabilitation,1,
459,Pediatric Rheumatology,1,
460,Pediatric Allergy Specialty,1,
461,Pediatric Orthopedics,1,
462,Truancy Counseling,1,
463,Martial Arts,1,
464,Baseball,1,
465,Football,1,
466,Soccer,1,
467,Wrestling,1,
468,Intermediate Care Facilities for Individuals With Developmental Disabilities,3,
469,Public Transit Authorities,3,
470,Transit Customer Service Centers,3,
471,Discount Transit Passes,1,
472,Free Transit Passes,1,
473,Substance Abuse Education/Prevention,1,
474,Neighborhood Multipurpose Centers,3,
475,Paratransit Programs,1,
476,Local Bus Transit Services,1,
477,Well Animal Checkups,1,
478,Cruelty to Animals Investigation,1,
479,Humane Animal Traps,1,
480,Animal Euthanasia Services,1,
481,Animal Shelters,3,
482,Animal Surrender Services,1,
483,Neuter/Spay Services,1,
484,Pet Tracking Microchips,1,
485,Rabies Vaccinations,1,
486,Animal Regulation,1,
487,Animal Adoption,1,
488,Animal Lost and Found,1,
489,Animal Rescue,1,
490,Wish Foundations,3,
491,Geriatric Psychiatric Inpatient Units,3,
492,Massage Therapy,1,
493,Registered Home Nursing,1,
494,Adult Day Health Programs,1,
495,Housekeeping Assistance,1,
496,Cancer Clinics,1,
497,Dementia Management,1,
498,Adult Family Day Program Homes,3,
499,Adolescent/Adult Immunizations,1,
500,Pap Tests,1,
501,Electrocardiography,1,
502,Alcoholism Referrals,1,
503,Drug Abuse Referrals,1,
504,Nursing Associations,3,
505,Speakers/Speakers Bureaus,1,
506,Emergency Veterinary Services,1,
507,Domestic Animal Services,1,
508,Social Health Insurance,1,
509,Medicaid Information/Counseling,1,
510,Medicaid Appeals/Complaints,4,
511,Health Maintenance Organization Complaints,1,
512,Home/Community Based Care Waiver Programs,4,
513,Immigrant Visa Application Filing Assistance,1,
514,Immigrant/Refugee Employment Programs,1,
515,Immigrant Mutual Assistance Associations,3,
516,Comprehensive Disability Related Employment Programs,1,
517,Adult Basic Education,1,
518,Classroom Training,2,
519,Donations Distribution Volunteer Opportunities,1,
520,Donation Drop Off Points,1,
521,Advocacy/Ombudsman Volunteer Opportunities,1,
522,Children's Rights Groups,3,
523,Holiday Gifts/Toys,1,
524,Telephone Service Payment Assistance,1,
525,Nursing Facility Complaints,1,
526,Local Government Complaints/Ombudsman Offices,3,
527,Long Term Care Ombudsman Programs,1,
528,Inmate Social Service Programs,1,
529,Criminal Offender Rights Groups,3,
530,Insurance Fraud Reporting,1,
531,Insurance Claims Assistance,1,
532,State Trial Courts,3,
533,Psychiatric Rehabilitation,1,
534,Mental Health Drop In Centers,3,
535,State Police,3,
536,Identity Theft Reporting/Recovery Programs,1,
537,Employment Discrimination Assistance,1,
538,Adult/Child Mentoring Programs,1,
539,Bus Fare,1,
540,Specialty Hospitals,3,
541,Sports Medicine,1,
542,Forensic Dentistry,1,
543,Autopsy Records,1,
544,Death Certificates,1,
545,Coroner Services,1,
546,Cremation Services,1,
547,Cardiovascular Medicine,1,
548,Surgery,1,
549,Hospital Delivery,1,
550,Psychiatric Services,1,
551,School Lunches/Snacks,1,
552,Peer Role Model Programs,1,
553,At Risk Youth Employment Programs,1,
554,Alternative Schools,3,
555,School Districts,3,
556,Adult Education,1,
557,Alcohol/Drug Impaired Driving Prevention,1,
558,Smoking Education/Prevention,1,
559,Literacy Programs,1,
560,Adult Literacy Programs,1,
561,Child Care Provider Training,1,
562,Graphic/Digital Design Services,1,
563,Child Care Instruction,1,
564,Automotive Body Repair/Painting,1,
565,Automotive Systems Repair,1,
566,Local School Boards,3,
567,Public Schools,3,
568,Library Services,1,
569,Story Hour,1,
570,Food Banks/Food Distribution Warehouses,3,
571,Recreation Centers,3,
572,Tourist Information,1,
573,Personal Financial Counseling,1,
574,Legal Representation,2,
575,Refugee Resettlement Services,1,
576,General Obstetrics,1,
577,Urgent Care Centers,3,
578,In Person Assister Programs,1,
579,General Dentistry,1,
580,Case/Care Management Referrals,3,
581,Community Wellness Programs,1,
582,Runaway Prevention Programs,1,
583,Low Income/Subsidized Rental Housing,3,
584,Low Cost Home Rental Listings,1,
585,Job Training Formats,2,
586,Counseling for Children Affected by Domestic Violence,1,
587,Children's/Adolescent Residential Treatment Facilities,3,
588,Gastroenterology,1,
589,Depression Screening,1,
590,Emergency Room Care,1,
591,Breast Care Centers,3,
592,Sleep Disorders Clinics,1,
593,Pastoral Counseling,1,
594,Death and Dying,1,
595,Bereavement Support Groups,3,
596,Therapeutic Camps,3,
597,Soup Kitchens,3,
598,Adapted Clothing,1,
599,Bathing Facilities,3,
600,Homeless Permanent Supportive Housing,3,
601,Amputee Rehabilitation,1,
602,Spinal Cord Rehabilitation,1,
603,Stroke Rehabilitation,1,
604,Arthritis Treatment Centers,1,
605,Cane Skills Instruction,1,
606,Eye Care Expense Assistance,1,
607,Blind Mobility Aids,1,
608,Vocational Centers,3,
609,Adult Diversion,1,
610,Transitional Residential Substance Abuse Services,1,
611,Single Room Occupancy Housing,3,
612,College/University Entrance Support,1,
613,Student Financial Aid,1,
614,Entrepreneurial Training,1,
615,Child Custody/Visitation Assistance,1,
616,Divorce Assistance,1,
617,Undesignated Temporary Financial Assistance,1,
618,Track and Field,1,
619,Basketball,1,
620,Cheerleading Programs,1,
621,Recreational Activities Volunteer Opportunities,1,
622,Prescription Drug Patient Assistance Programs,1,
623,Archives,1,
624,Historic House Museums,3,
625,Fundraising Campaigns,1,
626,Medical and Health Sciences Research,1,
627,Medical Care Expense Assistance,1,
628,Prescription Expense Assistance,1,
629,Scholarships,1,
630,Health Insurance Information/Counseling,1,
631,Naturalization Support/Legal Services,1,
632,Comprehensive Immigration/Naturalization Services,1,
633,Training and Employment Programs,1,
634,Supported Employment,1,
635,Medical Information Lines,1,
636,211 Lead Agencies,3,
637,Mental Health Hotlines,1,
638,Suicide Prevention Hotlines,1,
639,Disability Rights Groups,3,
640,Self Advocacy Support,2,
641,Alternative Dispute Resolution,2,
642,Workers Compensation Benefits Assistance,1,
643,Ticket to Work/Self Sufficiency Program,4,
644,Activities of Daily Living Assessment,1,
645,Correctional Facilities,3,
646,Prison Boot Camps,3,
647,Organ and Tissue Banks,3,
648,Sexual Assault Hotlines,1,
649,Credit Reporting Agencies,3,
650,Substance Abuse Hotlines,1,
651,Kidney Screening,1,
652,Medical Expense Assistance,1,
653,Kidney Transplants,1,
654,Crisis Intervention Hotlines/Helplines,1,
655,Poison Control,1,
656,Disability Related Parenting Programs,1,
657,Parent to Parent Networking,1,
658,Legal Counseling,2,
659,Live In Companions,1,
660,Sign Language Instruction,1,
661,Disability/Rehabilitation Related Occupational Therapy,1,
662,Holocaust Survivors Compensation/Restitution Assistance,1,
663,Holocaust Counseling,1,
664,Volunteer Recruitment/Placement,1,
665,Dietary Services,1,
666,Companionship,1,
667,County Departments/Offices,3,
668,Birth Certificates,1,
669,Environmental Hazards Evaluation,1,
670,Environmental Hazards Reporting,1,
671,Smoking Cessation Support,1,
672,Postpartum Care,1,
673,Mobile Health Care,3,
674,Epidemiology Research,1,
675,Urine Tests,1,
676,Outpatient Drug Detoxification,1,
677,Water Safety Education,1,
678,Lifeguard Training,1,
679,Swimming Safety Education,1,
680,Disaster Survivor Inquiries,1,
681,Foreign Disaster Welfare Inquiries,1,
682,Disaster Relief/Recovery Organizations,3,
683,Disaster Relief Services,1,
684,Armed Forces Emergency Services,1,
685,Drug Dependency Support Groups,3,
686,Gambling Support Groups,3,
687,Family Law Courts,3,
688,Consulates/Foreign Government Representatives,3,
689,Disaster Donations Coordination,1,
690,Veteran Benefits Assistance,1,
691,Law Enforcement Agencies,3,
692,Drug Day Treatment,1,
693,Assistive Technology Equipment,1,
694,Adoption Information,1,
695,Cleft Lip/Palate Clinics,1,
696,Early Intervention for Children With Disabilities/Delays,1,
697,Audiological Evaluations,1,
698,Pediatric Occupational Therapy,1,
699,Breast Examinations,1,
700,Ophthalmology Referrals,1,
701,Musical Instrument Instruction,1,
702,Juvenile Detention Facilities,3,
703,Premarital Counseling,1,
704,Self Esteem Workshops,1,
705,Gay/Lesbian/Bisexual/Transgender Support Groups,3,
706,Intergenerational Programs,1,
707,Parent/Child Activity Groups,1,
708,Gay Straight Alliances,3,
709,Parent/Child Instruction,1,
710,Communication Training,1,
711,Smoking Cessation,1,
712,Occupational/Professional Associations,3,
713,Organizational/Community/International Services,1,
714,Health Insurance/Dental Coverage,1,
715,Collaboration Development,1,
716,Community Engagement Program Development,1,
717,Strategic Alliance Development,1,
718,Public Assistance Programs,1,
719,Benefits Assistance,1,
720,Financial Management Support,1,
721,Youth/Student Support Groups,3,
722,Recreational/Leisure/Arts Instruction,1,
723,Children's State/Local Health Insurance Programs,1,
724,Acupuncture,1,
725,Crime Victim/Witness Counseling,1,
726,Work Clothing,1,
727,Job Interview Training,1,
728,Business Consulting Services,1,
729,Business Associations,3,
730,CPR Instruction,1,
731,First Aid Instruction,1,
732,Infant/Child CPR Instruction,1,
733,Automated External Defibrillator Training,1,
734,Mosquito Control,1,
735,Adoption Counseling and Support,1,
736,Adoption Evaluation/Placement,1,
737,Human Trafficking Prevention,1,
738,Filmmaking Instruction,1,
739,Chambers of Commerce,3,
740,Limited Equity Housing Cooperatives,3,
741,Home Rehabilitation Loans,1,
742,Home Improvement/Repair Complaints,1,
743,Buddy Programs,1,
744,Prison Ministries,1,
745,Driving Safety Education,1,
746,Diversion Programs,1,
747,Firearm Safety Education,1,
748,Outdoor Environmental Education,1,
749,New Driver Training,1,
750,Traffic School,1,
751,Driver Licenses,1,
752,Alternative Sentencing/Supervision,1,
753,First Offender DUI Programs,1,
754,Multiple Offender DUI Programs,1,
755,Firearm Training,1,
756,Ballet Performances,1,
757,Ballet Instruction,1,
758,Labor Standards and Practices,1,
759,Government Complaints/Government Ombudsman Offices,3,
760,Labor and Employment Law,1,
761,Pension Benefits Regulation,1,
762,Employment Related Advocacy Groups,3,
763,Comprehensive Information and Referral,1,
764,Passports,1,
765,Transit Visas,1,
766,Foreign Disaster Information,1,
767,Social Security Disability Insurance Applications,4,
768,State Disability Insurance Applications,4,
769,Foster Parent/Family Recruitment,1,
770,Instructional Materials,1,
771,Gambling Counseling/Treatment,1,
772,Special Education,1,
773,Federated Giving Programs,3,
774,Animal Services Volunteer Opportunities,1,
775,Paternity/Maternity Establishment,1,
776,Dental Care Expense Assistance,1,
777,Weight Related Support Groups,3,
778,Weight Loss Assistance,1,
779,Bereaved Parent Support Groups,3,
780,Pregnancy/Childbirth Support Groups,3,
781,Runaway/Homeless Youth Helplines,1,
782,Environmental Improvement Groups,3,
783,Environmental Beautification,1,
784,Musical Instrument Donation Programs,1,
785,Walking Programs,1,
786,Job Readiness,1,
787,Test Preparation,1,
788,Middle Schools,3,
789,Refugee/Entrant Cash Assistance,4,
790,Arts/Humanities Councils,3,
791,Volunteer Service Programs,1,
792,Senior Advocacy Groups,3,
793,Auditory/Oral Training,1,
794,Emergency Shelter Clearinghouses,3,
795,Emergency Food,1,
796,Dance Instruction,1,
797,Volleyball,1,
798,Homeless Drop In Centers,3,
799,General Counseling Services,1,
800,Work Experience,2,
801,Tennis,1,
802,Glee Clubs/Choir Groups,3,
803,Microenterprise Development/Support,1,
804,Financial Assessment Tools,1,
805,Camps,3,
806,Plastic/Reconstructive Surgery,1,
807,Wigs,1,
808,Senior Housing Information and Referral,1,
809,Medicare,4,
810,Clothing Vouchers,1,
811,Infant and Child Safety Education,1,
812,Child Passenger Safety Seats,1,
813,City Government Information Lines,1,
814,Family Group Conferencing,1,
815,Co-Parenting Workshops,1,
816,Autism Therapy,1,
817,Transition Services for Students With Disabilities,1,
818,Developmental Disabilities Social/Recreational Programs,1,
819,Charter Schools,3,
820,Youth Violence Prevention,1,
821,Youth Literacy Programs,1,
822,Housing Counseling,1,
823,Cell Phones,1,
824,Discounted Telephone Service,1,
825,Computer Donation Programs,1,
826,Pedestrian Safety Education,1,
827,Parent Counseling,1,
828,Nondelinquent Juvenile Detention Facilities,3,
829,Tourism Development,1,
830,Travelers Assistance,1,
831,Immigrant/Refugee Shelters,3,
832,Legal Assistance Modalities,2,
833,Family Life Education,1,
834,Day Camps,3,
835,Boys/Girls Clubs,3,
836,GLBTQ Helplines,1,
837,Gay/Lesbian/Bisexual/Transgender Advocacy Groups,3,
838,Academic Counseling,1,
839,Corneal Transplants,1,
840,Glasses Donation Programs,1,
841,Prenatal/Postnatal Home Visitation Programs,1,
842,Medicare Information/Counseling,4,
843,Opioid Detoxification,1,
844,Sexual Abstinence Education Programs,1,
845,Workshops/Symposiums,1,
846,Karate,1,
847,Fire Control/Extinction,1,
848,Fire Stations,3,
849,Safe Havens for Abandoned Newborns,3,
850,Clinical Weight Loss Programs,1,
851,Cell Phone Donation Programs,1,
852,Sexual Assault Prevention,1,
853,Spouse/Intimate Partner Abuse Prevention,1,
854,Domestic Violence Intervention Programs,1,
855,Domestic Violence Shelters,3,
856,Utility Service Complaints,1,
857,Bereaved Child Support Groups,3,
858,Disaster Related Bereavement Support Groups,3,
859,Homicide Survivors Support Groups,3,
860,General Assessment for Substance Abuse,1,
861,Mental Health Assessment and Treatment,1,
862,Hospital Admissions Departments,3,
863,Psychiatric Hospitals,3,
864,Otolaryngology,1,
865,Medical Associations,3,
