id,organization_id,program_id,location_id,name,alternate_name,url,email,status,application_process,wait_time,description,taxonomy_ids
17565,60,71,71,General Consumer Complaints,,http://www.miamigov.com/nets/offices/Downtown/index.html,,active,"Walk-ins welcomed, call for information.",,None provided,
151,60,73,73,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
153,60,73,73,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
154,60,73,73,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
156,60,74,74,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
157,60,74,74,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
158,60,74,74,Landlord/Tenant Assistance,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
159,60,75,75,Neighborhood Watch Programs,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
160,60,75,75,Consumer Complaints,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
162,60,75,75,Landlord/Tenant Dispute Resolution,,www.ci.miami.fl.us,,active,"Walk-ins welcomed, call for information.",,None provided,
14001,76,77,77,Elderly/Disabled Home Rental Listings,,www.hialeahhousing.org,,active,Applicat must fill out application in order to be considered for housing unit.,,None provided,
164,76,78,78,Congregate Meals/Nutrition Sites,,www.hialeahhousing.org,,active,Call and provide proper documentation providing needing assistance,,None provided,
165,76,78,78,Home Delivered Meals,,www.hialeahhousing.org,,active,Call and provide proper documentation providing needing assistance,,None provided,
21712,76,79,79,School Readiness Programs,,www.hialeahhousing.org,,active,Call to enroll,,None provided,
170,82,83,83,Case/Care Management,,www.careresource.org,,active,Call for more information,,None provided,
175,82,86,86,Case/Care Management,,www.careresource.org,,active,Call for more information,,None provided,
182,82,90,90,Anger Management,,www.careresource.org,,active,"Complete patient registration and if seeking fee reduction, provide proof of income.",,None provided,
183,82,90,90,Substance Abuse Counseling,,www.careresource.org,,active,"Complete patient registration and if seeking fee reduction, provide proof of income.",,None provided,
184,82,90,90,Drug/Alcohol Testing,,www.careresource.org,,active,"Complete patient registration and if seeking fee reduction, provide proof of income.",,None provided,
185,82,90,90,Psychiatric Disorder Counseling,,www.careresource.org,,active,"Complete patient registration and if seeking fee reduction, provide proof of income.",,None provided,
187,82,90,90,Parenting Education,,www.careresource.org,,active,"Complete patient registration and if seeking fee reduction, provide proof of income.",,None provided,
190,82,93,93,Sexually Transmitted Disease Screening,,www.careresource.org/hivaids/prevention/,,active,Visit our website or one of our locations,,None provided,
191,82,93,93,HIV Testing,,www.careresource.org/hivaids/prevention/,,active,Visit our website or one of our locations,,None provided,
13684,82,93,93,Diabetes Screening,,www.careresource.org/hivaids/prevention/,,active,Visit our website or one of our locations,,None provided,
13685,82,93,93,Clinical Cholesterol/Triglycerides Tests,,www.careresource.org/hivaids/prevention/,,active,Visit our website or one of our locations,,None provided,
194,82,95,95,HIV Testing,,www.careresource.org,,active,Call for more information,,None provided,
15852,82,96,96,Nutrition Education,,www.careresource.org,,active,None,,None provided,
197,82,97,97,Home Delivered Meals,,www.careresource.org,,active,None,,None provided,
15854,82,97,97,Ongoing Emergency Food Assistance,,www.careresource.org,,active,None,,None provided,
15855,82,97,97,Nutrition Education,,www.careresource.org,,active,None,,None provided,
198,82,98,98,Case/Care Management,,www.careresource.org,,active,Call for more information,,None provided,
199,82,99,99,Comprehensive Outpatient Substance Abuse Treatment,,www.careresource.org,,active,Call for more information,,None provided,
201,82,99,99,Volunteer Opportunities,,www.careresource.org,,active,Call for more information,,None provided,
16154,82,99,99,Bereavement Counseling,,www.careresource.org,,active,Call for more information,,None provided,
16155,82,99,99,Psychosocial Therapy,,www.careresource.org,,active,Call for more information,,None provided,
16156,82,99,99,Long Term Case/Care Management,,www.careresource.org,,active,Call for more information,,None provided,
16157,82,99,99,Transitional Case/Care Management,,www.careresource.org,,active,Call for more information,,None provided,
14534,82,100,100,AIDS/HIV Clinics,,www.careresource.org,,active,Call for more information,,None provided,
22506,82,100,100,Childhood Immunizations,,www.careresource.org,,active,Call for more information,,None provided,
235,101,103,103,Dental Screening,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
249,101,103,103,Pediatrics,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
250,101,103,103,Podiatry/Foot Care,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
9609,101,103,103,Substance Abuse Counseling,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
9610,101,103,103,Family and Community Medicine,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
9611,101,103,103,Vision Screening,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19271,101,103,103,Comprehensive Outpatient Alcoholism Treatment,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19272,101,103,103,Comprehensive Outpatient Drug Abuse Treatment,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19273,101,103,103,Case/Care Management,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19274,101,103,103,Obstetrics/Gynecology,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19275,101,103,103,Dental Care,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19276,101,103,103,Optometry,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19277,101,103,103,AIDS/HIV Prevention Counseling,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
22364,101,103,103,Childhood Immunizations,,www.jtchc.org,,active,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",,None provided,
19298,101,104,104,Perinatal Alcoholism Treatment,,www.jtchc.org/,,active,Call and have telephone interview and more intake details explianed.,,None provided,
19299,101,104,104,Perinatal Drug Abuse Treatment,,www.jtchc.org/,,active,Call and have telephone interview and more intake details explianed.,,None provided,
291,101,105,105,Dental Care,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
294,101,105,105,Mother and Infant Care,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
295,101,105,105,Birth Control,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19247,101,105,105,Comprehensive Outpatient Alcoholism Treatment,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19248,101,105,105,Comprehensive Outpatient Drug Abuse Treatment,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19251,101,105,105,Internal Medicine,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19252,101,105,105,Dermatology,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19253,101,105,105,Gynecology Services,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19254,101,105,105,Podiatry/Foot Care,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19255,101,105,105,Orthopedic/Orthotic Devices,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19256,101,105,105,Medical Appointments Transportation,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19257,101,105,105,AIDS/HIV Prevention Counseling,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19258,101,105,105,Health Education,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19260,101,105,105,Pediatrics,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19261,101,105,105,Family Planning,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19262,101,105,105,Prenatal Care,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
19263,101,105,105,Blood Tests,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
22384,101,105,105,Childhood Immunizations,,www.jtchc.org,,active,Must call for an appointment and further assistance,,None provided,
299,101,106,106,Nutrition Education,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
300,101,106,106,Dental Care,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
301,101,106,106,Comprehensive Outpatient Substance Abuse Treatment,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
303,101,106,106,AIDS/HIV Prevention Counseling,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
19264,101,106,106,Psychological Assessment,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
19265,101,106,106,General Psychiatry,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
19266,101,106,106,Medical Appointments Transportation,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
19267,101,106,106,Case/Care Management,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
19269,101,106,106,Blood Tests,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
19270,101,106,106,Pediatrics,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
22382,101,106,106,Childhood Immunizations,,www.jtchc.org,,active,Must call to make an appointment,,None provided,
310,101,108,108,Family Planning,,www.jtchc.org,,active,Must call for an appointment,,None provided,
311,101,108,108,Nutrition Education,,www.jtchc.org,,active,Must call for an appointment,,None provided,
312,101,108,108,AIDS/HIV Prevention Counseling,,www.jtchc.org,,active,Must call for an appointment,,None provided,
315,101,108,108,Mother and Infant Care,,www.jtchc.org,,active,Must call for an appointment,,None provided,
316,101,108,108,Dental Care,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19278,101,108,108,General Psychiatry,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19279,101,108,108,Psychological Assessment,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19280,101,108,108,Medical Appointments Transportation,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19281,101,108,108,Case/Care Management,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19283,101,108,108,Pediatrics,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19284,101,108,108,Prenatal Care,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19285,101,108,108,Diagnostic Imaging/Radiology,,www.jtchc.org,,active,Must call for an appointment,,None provided,
19286,101,108,108,Blood Tests,,www.jtchc.org,,active,Must call for an appointment,,None provided,
22380,101,108,108,Childhood Immunizations,,www.jtchc.org,,active,Must call for an appointment,,None provided,
322,109,112,112,School Based Integrated Services,,icfhinc.org,,active,Call for appointment.,,None provided,
12331,109,112,112,Play Therapy,,icfhinc.org,,active,Call for appointment.,,None provided,
12335,109,112,112,Behavior Modification,,icfhinc.org,,active,Call for appointment.,,None provided,
12336,109,112,112,Parenting Skills Classes,,icfhinc.org,,active,Call for appointment.,,None provided,
17822,109,112,112,Transitional Case/Care Management,,icfhinc.org,,active,Call for appointment.,,None provided,
326,109,114,114,Gang Programs,,http://www.icfhinc.org/,,active,Call to enroll youth in the program,,None provided,
17854,109,114,114,Transitional Case/Care Management,,http://www.icfhinc.org/,,active,Call to enroll youth in the program,,None provided,
330,109,117,117,Life Skills Education,,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,,active,"Accepts referrals, call for information.",,None provided,
7248,109,117,117,Mentoring Programs,,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,,active,"Accepts referrals, call for information.",,None provided,
17851,109,117,117,Transitional Case/Care Management,,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,,active,"Accepts referrals, call for information.",,None provided,
332,109,118,118,Conflict Resolution Training,,http://www.icfhinc.org/,,active,"Accepts referrals, call for an appointment.",,None provided,
333,109,118,118,Life Skills Education,,http://www.icfhinc.org/,,active,"Accepts referrals, call for an appointment.",,None provided,
17859,109,118,118,Parenting Skills Classes,,http://www.icfhinc.org/,,active,"Accepts referrals, call for an appointment.",,None provided,
334,109,119,119,Juvenile Delinquency Prevention,,http://www.icfhinc.org/,,active,Call to schedule an appointment.,,None provided,
336,109,119,119,Adolescent/Youth Counseling,,http://www.icfhinc.org/,,active,Call to schedule an appointment.,,None provided,
337,109,120,120,Case/Care Management,,http://www.icfhinc.org/,,active,"Accepts referrals, call for information.",,None provided,
17857,109,120,120,Wraparound Facilitation/Community Support,,http://www.icfhinc.org/,,active,"Accepts referrals, call for information.",,None provided,
345,109,122,122,Parenting Skills Classes,,ICFHinc.org,,active,"Accepts referrals, call for information.",,None provided,
347,109,123,123,Parenting Skills Classes,,http://www.icfhinc.org/default.asp,,active,Call for information.,,None provided,
348,109,123,123,Family Literacy Programs,,http://www.icfhinc.org/default.asp,,active,Call for information.,,None provided,
7464,109,123,123,Parent/Family Involvement in Education,,http://www.icfhinc.org/default.asp,,active,Call for information.,,None provided,
351,109,124,124,Psychiatric Case Management,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
7257,109,125,125,Parenting Skills Classes,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
366,109,127,127,Suicide Counseling,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
17824,109,127,127,Play Therapy,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
17825,109,127,127,Behavior Modification,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
17826,109,127,127,Parenting Skills Classes,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
17827,109,127,127,Child Sexual Abuse Counseling,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
17828,109,127,127,Suicide Prevention Programs,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
17829,109,127,127,Outreach Programs,,icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
370,109,128,128,Case/Care Management,,www.icfhinc.org,,active,"Accepts referrals, call for information.",,None provided,
388,109,132,132,Psychiatric Case Management,,icfhinc.org,,active,Call for information.,,None provided,
17852,109,132,132,Transitional Case/Care Management,,icfhinc.org,,active,Call for information.,,None provided,
394,109,134,134,Parenting Materials,,icfhinc.org,,active,"Referrals accepted, call for information.",,None provided,
17837,109,134,134,Psychotherapy/Psychoanalysis,,icfhinc.org,,active,"Referrals accepted, call for information.",,None provided,
8019,135,136,136,Discrimination Assistance,,http://miami-dadenaacp.org/,,active,Call or visit website to become a member,,None provided,
19073,137,137,137,Recreational Activities/Sports,,www.girlscoutsfl.org,,active,Call to register,,None provided,
19074,137,137,137,Scouting Programs,,www.girlscoutsfl.org,,active,Call to register,,None provided,
19075,137,137,137,Volunteer Opportunities,,www.girlscoutsfl.org,,active,Call to register,,None provided,
397,137,138,138,Recreational Activities/Sports,,girlscoutsfl.org,,active,Must complete enrollment. Call for information.,,None provided,
398,137,138,138,Youth Development,,girlscoutsfl.org,,active,Must complete enrollment. Call for information.,,None provided,
13898,137,138,138,Volunteer Opportunities,,girlscoutsfl.org,,active,Must complete enrollment. Call for information.,,None provided,
14628,137,138,138,Tutoring Services,,girlscoutsfl.org,,active,Must complete enrollment. Call for information.,,None provided,
14629,137,138,138,Mentoring Programs,,girlscoutsfl.org,,active,Must complete enrollment. Call for information.,,None provided,
404,137,141,141,Juvenile Delinquency Prevention,,http://www.girlscoutsfl.org/programs/decisions.html,,active,Call for enrollment,,None provided,
14630,137,141,141,Teen Pregnancy Prevention,,http://www.girlscoutsfl.org/programs/decisions.html,,active,Call for enrollment,,None provided,
14631,137,141,141,Dropout Prevention,,http://www.girlscoutsfl.org/programs/decisions.html,,active,Call for enrollment,,None provided,
19625,144,144,144,General Crime Victim Assistance,,www.myfloridalegal.com,,active,Must call for assessment on case,,None provided,
19626,144,144,144,Crime Victim Compensation,,www.myfloridalegal.com,,active,Must call for assessment on case,,None provided,
19627,144,145,145,General Crime Victim Assistance,,www.myfloridalegal.com,,active,Call for information or visit http://www.myfloridalegal.com/Engviccmp.pdf for a copy of brochure.,,None provided,
19628,144,145,145,Crime Victim Compensation,,www.myfloridalegal.com,,active,Call for information or visit http://www.myfloridalegal.com/Engviccmp.pdf for a copy of brochure.,,None provided,
20386,146,146,146,Neighborhood Revitalization,,http://www.miamidade.gov/building/neighborhood-compliance.asp,,active,Must call to setup an appointment for inspection,,None provided,
20730,148,148,148,Volunteer Opportunities,,unitedwaymiami.org,,active,Varies on program of interest,,None provided,
13726,150,151,151,General Clothing Donation Programs,,www.salvationarmymiami.com,,active,Call for additional information,,None provided,
13741,150,151,151,Volunteer Opportunities,,www.salvationarmymiami.com,,active,Call for additional information,,None provided,
13746,150,152,152,Volunteer Opportunities,,www.salvationarmymiami.com,,active,None,,None provided,
420,150,153,153,Emergency Shelter,,www.salvationarmymiami.com,,active,Must be referred through the Homeless Helpline (877) 994-4357.,,None provided,
13744,150,157,157,Volunteer Opportunities,,www.salvationarmymiami.com,,active,Must be referred by Homeless Helpline,,None provided,
14410,150,157,157,Homeless Shelter,,www.salvationarmymiami.com,,active,Must be referred by Homeless Helpline,,None provided,
18946,150,157,157,Transitional Case/Care Management,,www.salvationarmymiami.com,,active,Must be referred by Homeless Helpline,,None provided,
13745,150,159,159,Volunteer Opportunities,,www.salvationarmymiami.com,,active,None,,None provided,
434,150,160,160,Case/Care Management,,www.salvationarmymiami.com,,active,Contact the Social Services Department for intake requirements,,None provided,
13738,150,160,160,Volunteer Opportunities,,www.salvationarmymiami.com,,active,Contact the Social Services Department for intake requirements,,None provided,
22045,150,160,160,Subject Tutoring,,www.salvationarmymiami.com,,active,Contact the Social Services Department for intake requirements,,None provided,
22046,150,160,160,Homeless Shelter,,www.salvationarmymiami.com,,active,Contact the Social Services Department for intake requirements,,None provided,
