id,location_id,program_id,accepted_payments,alternate_name,application_process,description,eligibility,email,fees,funding_sources,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
182,90,90,,,"Complete patient registration and if seeking fee reduction, provide proof of income.",None Provided,,,,,,,,Anger Management,,,active,,http://www.careresource.org,
13685,93,93,,,Visit our website or one of our locations,None Provided,,,,,,,,Clinical Cholesterol/Triglycerides Tests,,,active,,http://www.careresource.org/hivaids/prevention/,
13684,93,93,,,Visit our website or one of our locations,None Provided,,,,,,,,Diabetes Screening,,,active,,http://www.careresource.org/hivaids/prevention/,
191,93,93,,,Visit our website or one of our locations,None Provided,,,,,,,,HIV Testing,,,active,,http://www.careresource.org/hivaids/prevention/,
190,93,93,,,Visit our website or one of our locations,None Provided,,,,,,,,Sexually Transmitted Disease Screening,,,active,,http://www.careresource.org/hivaids/prevention/,
194,95,95,,,Call for more information,None Provided,,,,,,,,HIV Testing,,,active,,http://www.careresource.org,
15852,96,96,,,None,None Provided,,,,,,,,Nutrition Education,,,active,,http://www.careresource.org,
15855,97,97,,,None,None Provided,,,,,,,,Nutrition Education,,,active,,http://www.careresource.org,
197,97,97,,,None,None Provided,,,,,,,,Home Delivered Meals,,,active,,http://www.careresource.org,
15854,97,97,,,None,None Provided,,,,,,,,Ongoing Emergency Food Assistance,,,active,,http://www.careresource.org,
198,98,98,,,Call for more information,None Provided,,,,,,,,Case/Care Management,,,active,,http://www.careresource.org,
16157,99,99,,,Call for more information,None Provided,,,,,,,,Transitional Case/Care Management,,,active,,http://www.careresource.org,
16156,99,99,,,Call for more information,None Provided,,,,,,,,Long Term Case/Care Management,,,active,,http://www.careresource.org,
16155,99,99,,,Call for more information,None Provided,,,,,,,,Psychosocial Therapy,,,active,,http://www.careresource.org,
201,99,99,,,Call for more information,None Provided,,,,,,,,Volunteer Opportunities,,,active,,http://www.careresource.org,
16154,99,99,,,Call for more information,None Provided,,,,,,,,Bereavement Counseling,,,active,,http://www.careresource.org,
199,99,99,,,Call for more information,None Provided,,,,,,,,Comprehensive Outpatient Substance Abuse Treatment,,,active,,http://www.careresource.org,
14534,100,100,,,Call for more information,None Provided,,,,,,,,AIDS/HIV Clinics,,,active,,http://www.careresource.org,
22506,100,100,,,Call for more information,None Provided,,,,,,,,Childhood Immunizations,,,active,,http://www.careresource.org,
22364,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Childhood Immunizations,,,active,,http://www.jtchc.org,
19275,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Dental Care,,,active,,http://www.jtchc.org,
19274,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Obstetrics/Gynecology,,,active,,http://www.jtchc.org,
19276,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Optometry,,,active,,http://www.jtchc.org,
9610,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Family and Community Medicine,,,active,,http://www.jtchc.org,
250,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Podiatry/Foot Care,,,active,,http://www.jtchc.org,
249,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Pediatrics,,,active,,http://www.jtchc.org,
19277,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,AIDS/HIV Prevention Counseling,,,active,,http://www.jtchc.org,
235,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Dental Screening,,,active,,http://www.jtchc.org,
9611,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Vision Screening,,,active,,http://www.jtchc.org,
9609,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Substance Abuse Counseling,,,active,,http://www.jtchc.org,
19271,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Comprehensive Outpatient Alcoholism Treatment,,,active,,http://www.jtchc.org,
19272,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Comprehensive Outpatient Drug Abuse Treatment,,,active,,http://www.jtchc.org,
19273,103,103,,,"All patients must provide proof of income, current photo ID'S, insurance cards, and medical reports.\n\nChild Immunizations:\n* Must bring immunization records.\n* Parent or guardian must be present\n* Clinic is walk-in (on that Saturday only)",None Provided,,,,,,,,Case/Care Management,,,active,,http://www.jtchc.org,
19298,104,104,,,Call and have telephone interview and more intake details explianed.,None Provided,,,,,,,,Perinatal Alcoholism Treatment,,,active,,http://www.jtchc.org/,
19299,104,104,,,Call and have telephone interview and more intake details explianed.,None Provided,,,,,,,,Perinatal Drug Abuse Treatment,,,active,,http://www.jtchc.org/,
19248,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Comprehensive Outpatient Drug Abuse Treatment,,,active,,http://www.jtchc.org,
19247,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Comprehensive Outpatient Alcoholism Treatment,,,active,,http://www.jtchc.org,
19263,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Blood Tests,,,active,,http://www.jtchc.org,
19257,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,AIDS/HIV Prevention Counseling,,,active,,http://www.jtchc.org,
19255,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Orthopedic/Orthotic Devices,,,active,,http://www.jtchc.org,
19258,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Health Education,,,active,,http://www.jtchc.org,
19261,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Family Planning,,,active,,http://www.jtchc.org,
295,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Birth Control,,,active,,http://www.jtchc.org,
294,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Mother and Infant Care,,,active,,http://www.jtchc.org,
19262,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Prenatal Care,,,active,,http://www.jtchc.org,
19253,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Gynecology Services,,,active,,http://www.jtchc.org,
19260,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Pediatrics,,,active,,http://www.jtchc.org,
19254,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Podiatry/Foot Care,,,active,,http://www.jtchc.org,
19251,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Internal Medicine,,,active,,http://www.jtchc.org,
291,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Dental Care,,,active,,http://www.jtchc.org,
19252,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Dermatology,,,active,,http://www.jtchc.org,
22384,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Childhood Immunizations,,,active,,http://www.jtchc.org,
19256,105,105,,,Must call for an appointment and further assistance,None Provided,,,,,,,,Medical Appointments Transportation,,,active,,http://www.jtchc.org,
19266,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Medical Appointments Transportation,,,active,,http://www.jtchc.org,
22382,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Childhood Immunizations,,,active,,http://www.jtchc.org,
300,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Dental Care,,,active,,http://www.jtchc.org,
19270,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Pediatrics,,,active,,http://www.jtchc.org,
303,106,106,,,Must call to make an appointment,None Provided,,,,,,,,AIDS/HIV Prevention Counseling,,,active,,http://www.jtchc.org,
299,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Nutrition Education,,,active,,http://www.jtchc.org,
19269,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Blood Tests,,,active,,http://www.jtchc.org,
19267,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Case/Care Management,,,active,,http://www.jtchc.org,
301,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Comprehensive Outpatient Substance Abuse Treatment,,,active,,http://www.jtchc.org,
19265,106,106,,,Must call to make an appointment,None Provided,,,,,,,,General Psychiatry,,,active,,http://www.jtchc.org,
19264,106,106,,,Must call to make an appointment,None Provided,,,,,,,,Psychological Assessment,,,active,,http://www.jtchc.org,
19279,108,108,,,Must call for an appointment,None Provided,,,,,,,,Psychological Assessment,,,active,,http://www.jtchc.org,
19278,108,108,,,Must call for an appointment,None Provided,,,,,,,,General Psychiatry,,,active,,http://www.jtchc.org,
19281,108,108,,,Must call for an appointment,None Provided,,,,,,,,Case/Care Management,,,active,,http://www.jtchc.org,
19286,108,108,,,Must call for an appointment,None Provided,,,,,,,,Blood Tests,,,active,,http://www.jtchc.org,
19285,108,108,,,Must call for an appointment,None Provided,,,,,,,,Diagnostic Imaging/Radiology,,,active,,http://www.jtchc.org,
311,108,108,,,Must call for an appointment,None Provided,,,,,,,,Nutrition Education,,,active,,http://www.jtchc.org,
312,108,108,,,Must call for an appointment,None Provided,,,,,,,,AIDS/HIV Prevention Counseling,,,active,,http://www.jtchc.org,
310,108,108,,,Must call for an appointment,None Provided,,,,,,,,Family Planning,,,active,,http://www.jtchc.org,
19284,108,108,,,Must call for an appointment,None Provided,,,,,,,,Prenatal Care,,,active,,http://www.jtchc.org,
315,108,108,,,Must call for an appointment,None Provided,,,,,,,,Mother and Infant Care,,,active,,http://www.jtchc.org,
19283,108,108,,,Must call for an appointment,None Provided,,,,,,,,Pediatrics,,,active,,http://www.jtchc.org,
316,108,108,,,Must call for an appointment,None Provided,,,,,,,,Dental Care,,,active,,http://www.jtchc.org,
22380,108,108,,,Must call for an appointment,None Provided,,,,,,,,Childhood Immunizations,,,active,,http://www.jtchc.org,
19280,108,108,,,Must call for an appointment,None Provided,,,,,,,,Medical Appointments Transportation,,,active,,http://www.jtchc.org,
17822,112,112,,,Call for appointment.,None Provided,,,,,,,,Transitional Case/Care Management,,,active,,http://icfhinc.org,
322,112,112,,,Call for appointment.,None Provided,,,,,,,,School Based Integrated Services,,,active,,http://icfhinc.org,
12336,112,112,,,Call for appointment.,None Provided,,,,,,,,Parenting Skills Classes,,,active,,http://icfhinc.org,
12331,112,112,,,Call for appointment.,None Provided,,,,,,,,Play Therapy,,,active,,http://icfhinc.org,
12335,112,112,,,Call for appointment.,None Provided,,,,,,,,Behavior Modification,,,active,,http://icfhinc.org,
17854,114,114,,,Call to enroll youth in the program,None Provided,,,,,,,,Transitional Case/Care Management,,,active,,http://www.icfhinc.org/,
326,114,114,,,Call to enroll youth in the program,None Provided,,,,,,,,Gang Programs,,,active,,http://www.icfhinc.org/,
17851,117,117,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Transitional Case/Care Management,,,active,,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,
7248,117,117,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Mentoring Programs,,,active,,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,
330,117,117,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Life Skills Education,,,active,,http://icfhinc.org/our_programs.asp?id_programa_padre=43&id_programa=141,
333,118,118,,,"Accepts referrals, call for an appointment.",None Provided,,,,,,,,Life Skills Education,,,active,,http://www.icfhinc.org/,
332,118,118,,,"Accepts referrals, call for an appointment.",None Provided,,,,,,,,Conflict Resolution Training,,,active,,http://www.icfhinc.org/,
17859,118,118,,,"Accepts referrals, call for an appointment.",None Provided,,,,,,,,Parenting Skills Classes,,,active,,http://www.icfhinc.org/,
336,119,119,,,Call to schedule an appointment.,None Provided,,,,,,,,Adolescent/Youth Counseling,,,active,,http://www.icfhinc.org/,
334,119,119,,,Call to schedule an appointment.,None Provided,,,,,,,,Juvenile Delinquency Prevention,,,active,,http://www.icfhinc.org/,
17857,120,120,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Wraparound Facilitation/Community Support,,,active,,http://www.icfhinc.org/,
337,120,120,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Case/Care Management,,,active,,http://www.icfhinc.org/,
345,122,122,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Parenting Skills Classes,,,active,,http://ICFHinc.org,
347,123,123,,,Call for information.,None Provided,,,,,,,,Parenting Skills Classes,,,active,,http://www.icfhinc.org/default.asp,
7464,123,123,,,Call for information.,None Provided,,,,,,,,Parent/Family Involvement in Education,,,active,,http://www.icfhinc.org/default.asp,
348,123,123,,,Call for information.,None Provided,,,,,,,,Family Literacy Programs,,,active,,http://www.icfhinc.org/default.asp,
351,124,124,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Psychiatric Case Management,,,active,,http://icfhinc.org,
7257,125,125,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Parenting Skills Classes,,,active,,http://icfhinc.org,
17826,127,127,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Parenting Skills Classes,,,active,,http://icfhinc.org,
17827,127,127,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Child Sexual Abuse Counseling,,,active,,http://icfhinc.org,
17825,127,127,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Behavior Modification,,,active,,http://icfhinc.org,
17828,127,127,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Suicide Prevention Programs,,,active,,http://icfhinc.org,
17824,127,127,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Play Therapy,,,active,,http://icfhinc.org,
366,127,127,,,"Accepts referrals, call for information.",None Provided,,,,,,,,Suicide Counseling,,,active,,http://icfhinc.org,
