id,location_id,contact_id,organization_id,service_id,number,vanity_number,extension,department,number_type,country_prefix
152,152,152,150,,305-554-9669,,,,voice,
153,153,153,150,,305-637-6720,,,,voice,
157,157,157,150,,305-637-6720,,,,voice,
159,159,159,150,,305-573-4200,,,,voice,
160,160,160,150,,305-637-6700,,,,voice,
161,161,161,150,,305-637-6720,,,,voice,
162,162,162,150,,305-637-6720,,,,voice,
163,163,163,150,,305-637-6700,,,,voice,
164,164,164,150,,305-573-4200,,,,voice,
165,165,165,165,,305-468-5900,,,,voice,
166,166,166,165,,305-468-5900,,,,voice,
167,167,167,167,,305-443-9170,,,,voice,
171,171,171,171,,305-242-2577,,,,voice,
172,172,172,171,,305-242-2597,,,,voice,
173,173,173,171,,305-242-2592,,,,voice,
174,174,174,171,,305-242-2588,,,,voice,
175,175,175,171,,305-242-2575,,,,voice,
176,176,176,171,,305-242-2595,,,,voice,
177,177,177,171,,305-242-2584,,,,voice,
182,182,182,182,,305-716-0710,,,,voice,
183,183,183,182,,305-716-0710,,,,voice,
184,184,184,182,,305-716-0710,,,,voice,
185,185,185,182,,305-716-0710,,,,voice,
186,186,186,182,,305-716-0710,,,,voice,
188,188,188,182,,305-716-0710,,,,voice,
190,190,190,182,,305-716-0710,,,,voice,
191,191,191,191,,305-758-8103,,,,voice,
193,193,193,193,,305-603-6640,,,,voice,
198,198,198,193,,305-603-6640,,,,voice,
200,200,200,193,,305-603-6640,,,,voice,
202,202,202,193,,305-603-6095,,,,voice,
204,204,204,193,,305-603-6640,,,,voice,
207,207,207,207,,786-466-2826,,,,voice,
208,208,208,207,,786-466-2700,,82715.0,,voice,
209,209,209,207,,786-466-2700,,82744.0,,voice,
211,211,211,207,,786-466-2826,,,,voice,
212,212,212,207,,786-466-2826,,,,voice,
213,213,213,207,,786-466-2800,,,,voice,
214,214,214,207,,786-466-2700,,,,voice,
215,215,215,207,,786-466-2700,,,,voice,
216,216,216,207,,786-466-2834,,,,voice,
217,217,217,217,,305-374-4143,,,,voice,
218,218,218,217,,855-414-0215,,,,voice,
219,219,219,217,,305-654-3718,,,,voice,
222,222,222,222,,954-566-9040,,,,voice,
226,226,226,226,,305-592-7642,,,,voice,
232,232,232,228,,305-577-4840,,243.0,,voice,
236,236,236,236,,800-827-5722,,,,voice,
237,237,237,236,,305-536-5521,,118.0,,voice,
238,238,238,238,,305-571-2273,,,,voice,
239,239,239,238,,305-571-2250,,,,voice,
240,240,240,238,,305-572-2066,,,,voice,
242,242,242,238,,305-571-2227,,,,voice,
243,243,243,238,,305-572-2020,,,,voice,
247,247,247,247,,813-875-1408,,,,voice,
249,249,249,247,,305-969-8700,,,,voice,
293,293,293,293,,800-586-4872,,,,voice,
295,295,295,295,,727-447-7075,,,,voice,
297,297,297,297,,305-442-1600,,,,voice,
299,299,299,297,,305-460-5471,,,,voice,
304,304,304,304,,305-348-2000,,,,voice,
309,309,309,304,,305-348-1937,,,,voice,
311,311,311,304,,305-348-2277,,,,voice,
312,312,312,304,,305-644-0667,,,,voice,
313,313,313,313,,305-270-5305,,,,voice,
315,315,315,315,,888-687-2277,,,,voice,
316,316,316,315,,866-595-7678,,,,voice,
318,318,318,315,,305-476-5925,,,,voice,
319,319,319,319,,305-375-5661,,,,voice,
320,320,320,319,,305-375-5661,,,,voice,
321,321,321,319,,305-375-5661,,,,voice,
323,323,323,323,,800-772-1213,,,,voice,
324,324,324,323,,800-772-1213,,,,voice,
325,325,325,323,,800-772-1213,,,,voice,
326,326,326,323,,800-772-1213,,,,voice,
327,327,327,323,,800-772-1213,,,,voice,
328,328,328,323,,800-772-1213,,,,voice,
329,329,329,323,,800-772-1213,,,,voice,
330,330,330,323,,800-772-1213,,,,voice,
331,331,331,323,,800-772-1213,,,,voice,
332,332,332,332,,305-247-1535,,,,voice,
333,333,333,332,,305-224-5585,,,,voice,
334,334,334,332,,305-245-2438,,,,voice,
348,348,348,348,,305-246-0357,,,,voice,
349,349,349,348,,305-247-4779,,,,voice,
350,350,350,348,,305-246-0357,,,,voice,
351,351,351,348,,305-247-4779,,,,voice,
352,352,352,348,,305-246-0357,,,,voice,
360,360,360,360,,305-668-3875,,,,voice,
361,361,361,360,,305-669-0712,,,,voice,
362,362,362,360,,305-668-3876,,,,voice,
363,363,363,363,,305-585-5241,,,,voice,
368,368,368,368,,305-895-5555,,,,voice,
374,374,374,374,,561-848-6402,,,,voice,
375,375,375,374,,786-263-0001,,,,voice,
376,376,376,374,,305-285-5535,,,,voice,
381,381,381,381,,305-599-1015,,,,voice,
382,382,382,381,,305-599-1015,,,,voice,
386,386,386,386,,305-374-6006,,,,voice,
387,387,387,386,,305-374-6006,,,,voice,
388,388,388,388,,239-434-2397,,,,voice,
389,389,389,388,,239-434-2397,,,,voice,
390,390,390,390,,800-344-4867,,,,voice,
391,391,391,390,,954-731-4224,,,,voice,
392,392,392,392,,305-476-5423,,,,voice,
395,395,395,392,,305-876-7373,,,,voice,
396,396,396,392,,305-471-2800,,,,voice,
398,398,398,392,,305-669-7700,,,,voice,
399,399,399,392,,305-836-8601,,,,voice,
400,400,400,392,,305-471-1745,,,,voice,
404,404,404,392,,305-940-9980,,,,voice,
406,406,406,392,,305-476-5423,,,,voice,
409,409,409,392,,305-471-1900,,,,voice,
410,410,410,392,,305-279-6929,,,,voice,
411,411,411,392,,305-471-1945,,,,voice,
412,412,412,392,,305-698-1500,,,,voice,
413,413,413,392,,305-383-6800,,,,voice,
414,414,414,392,,305-378-4300,,,,voice,
416,416,416,392,,305-471-2142,,,,voice,
417,417,417,392,,786-337-4450,,,,voice,
418,418,418,418,,786-469-2333,,,,voice,
420,420,420,418,,786-469-2333,,,,voice,
425,425,425,425,,305-758-4485,,,,voice,
428,428,428,425,,305-758-4485,,2214.0,,voice,
429,429,429,425,,305-758-4485,,,,voice,
433,433,433,432,,305-579-5733,,,,voice,
435,435,435,435,,800-291-1068,,,,voice,
437,437,437,435,,888-734-2585,,,,voice,
438,438,438,435,,866-357-3239,,,,voice,
440,440,440,435,,888-913-7294,,,,voice,
441,441,441,435,,888-369-0323,,,,voice,
442,442,442,435,,800-750-8956,,,,voice,
447,447,447,447,,305-271-2442,,,,voice,
448,448,448,447,,786-243-1600,,,,voice,
449,449,449,449,,305-651-4673,,,,voice,
450,450,450,449,,305-651-4673,,,,voice,
451,451,451,451,,305-271-7343,,,,voice,
460,460,460,460,,305-264-3232,,,,voice,
466,466,466,466,,800-827-1000,,,,voice,
467,467,467,466,,305-575-7000,,3124.0,,voice,
468,468,468,466,,305-718-3712,,,,voice,
469,469,469,466,,305-451-0164,,,,voice,
471,471,471,466,,954-894-1668,,,,voice,
472,472,472,466,,305-541-8435,,,,voice,
473,473,473,466,,305-248-0874,,,,voice,
474,474,474,466,,305-541-5864,,,,voice,
475,475,475,466,,305-293-4863,,,,voice,
476,476,476,466,,954-475-5500,,8685.0,,voice,
481,481,481,481,,877-553-7453,,211.0,,voice,
482,482,482,481,,305-670-4949,,223.0,,voice,
483,483,483,481,,877-553-7453,,203.0,,voice,
484,484,484,481,,305-670-4949,,208.0,,voice,
485,485,485,481,,305-670-4949,,204.0,,voice,
486,486,486,486,,305-531-5341,,,,voice,
490,490,490,486,,305-531-5341,,,,voice,
491,491,491,486,,305-531-5341,,,,voice,
493,493,493,486,,305-531-5341,,,,voice,
498,498,498,498,,239-261-8284,,,,voice,
500,500,500,500,,800-321-3437,,,,voice,
501,501,501,500,,305-243-3696,,,,voice,
502,502,502,502,,305-532-5350,,,,voice,
504,504,504,504,,305-375-5730,,,,voice,
505,505,505,504,,305-375-5730,,,,voice,
506,506,506,504,,305-375-5730,,,,voice,
507,507,507,504,,305-375-5730,,,,voice,
508,508,508,504,,305-375-5730,,,,voice,
509,509,509,504,,305-375-5730,,,,voice,
510,510,510,510,,800-932-2423,,,,voice,
511,511,511,510,,561-218-2929,,4.0,,voice,
512,512,512,510,,561-218-2929,,,,voice,
514,514,514,514,,305-243-3993,,,,voice,
515,515,515,514,,305-585-6051,,,,voice,
516,516,516,514,,305-585-6683,,,,voice,
527,527,527,514,,305-243-3441,,,,voice,
528,528,528,514,,305-243-5880,,,,voice,
529,529,529,529,,404-872-7100,,,,voice,
530,530,530,529,,813-968-7000,,,,voice,
534,534,534,534,,305-665-2540,,,,voice,
535,535,535,534,,305-562-1735,,,,voice,
536,536,536,534,,305-562-1735,,,,voice,
537,537,537,534,,305-562-1735,,,,voice,
538,538,538,534,,305-562-1735,,,,voice,
540,540,540,534,,305-562-1735,,,,voice,
542,542,542,542,,305-446-6216,,,,voice,
543,543,543,542,,305-446-6216,,,,voice,
544,544,544,542,,305-446-6216,,,,voice,
545,545,545,542,,305-446-6216,,,,voice,
546,546,546,546,,305-637-3558,,,,voice,
547,547,547,546,,305-637-3558,,,,voice,
548,548,548,548,,305-252-5444,,,,voice,
554,554,554,548,,305-252-5444,,2260.0,,voice,
555,555,555,548,,305-694-4170,,,,voice,
558,558,558,548,,786-316-2374,,,,voice,
559,559,559,559,,239-353-1994,,,,voice,
561,561,561,561,,321-397-3000,,,,voice,
562,562,562,561,,305-969-4315,,,,voice,
563,563,563,561,,305-969-4315,,339.0,,voice,
564,564,564,561,,305-324-1262,,,,voice,
566,566,566,561,,305-254-9759,,,,voice,
567,567,567,561,,305-969-4315,,,,voice,
569,569,569,561,,305-755-6500,,339.0,,voice,
577,577,577,577,,305-596-1160,,256.0,,voice,
579,579,579,577,,305-596-1160,,,,voice,
580,580,580,577,,305-596-1160,,,,voice,
581,581,581,577,,305-596-1160,,222.0,,voice,
584,584,584,584,,305-857-0050,,,,voice,
586,586,586,584,,305-857-0050,,,,voice,
588,588,588,588,,305-576-6611,,,,voice,
594,594,594,588,,305-552-1201,,,,voice,
595,595,595,595,,305-274-5553,,,,voice,
596,596,596,595,,305-274-5553,,,,voice,
602,602,602,602,,305-357-4395,,,,voice,
603,603,603,602,,305-545-6049,,,,voice,
604,604,604,602,,305-362-9701,,,,voice,
605,605,605,602,,305-362-9701,,,,voice,
606,606,606,602,,305-357-4395,,,,voice,
607,607,607,602,,305-357-4395,,,,voice,
608,608,608,602,,305-545-6049,,,,voice,
619,619,619,619,,305-279-7999,,,,voice,
622,622,622,622,,305-444-0740,,,,voice,
624,624,624,624,,305-759-2542,,,,voice,
625,625,625,624,,305-759-2542,,,,voice,
626,626,626,626,,800-352-4256,,,,voice,
628,628,628,628,,305-245-7299,,,,voice,
630,630,630,628,,305-245-2422,,,,voice,
631,631,631,628,,305-248-3633,,,,voice,
632,632,632,628,,305-245-5797,,,,voice,
633,633,633,628,,305-245-5797,,,,voice,
639,639,639,639,,954-384-0344,,,,voice,
640,640,640,639,,954-384-0344,,,,voice,
642,642,642,639,,954-384-0344,,,,voice,
644,644,644,644,,305-445-8461,,,,voice,
650,650,650,650,,305-995-1717,,,,voice,
651,651,651,650,,305-995-2218,,,,voice,
652,652,652,652,,305-670-2266,,,,voice,
654,654,654,654,,305-459-9161,,,,voice,
655,655,655,654,,305-442-6970,,,,voice,
656,656,656,654,,305-252-4452,,,,voice,
657,657,657,654,,305-513-7880,,,,voice,
658,658,658,654,,305-378-5911,,,,voice,
659,659,659,654,,305-643-7650,,,,voice,
660,660,660,654,,305-795-2285,,,,voice,
661,661,661,654,,305-892-4283,,,,voice,
662,662,662,654,,305-442-6885,,,,voice,
663,663,663,654,,305-643-7600,,,,voice,
665,665,665,654,,305-227-7580,,,,voice,
666,666,666,654,,305-442-6970,,,,voice,
667,667,667,654,,305-628-7244,,,,voice,
668,668,668,668,,305-573-3784,,,,voice,
669,669,669,668,,305-573-3784,,,,voice,
681,681,681,668,,305-573-3784,,,,voice,
686,686,686,686,,305-696-4450,,,,voice,
689,689,689,686,,305-696-4450,,,,voice,
691,691,691,686,,305-696-4450,,,,voice,
692,692,692,692,,305-324-5678,,,,voice,
694,694,694,692,,305-324-5678,,,,voice,
699,699,699,699,,305-637-1106,,,,voice,
700,700,700,699,,305-637-1106,,,,voice,
706,706,706,706,,305-252-2552,,,,voice,
708,708,708,708,,305-284-3666,,,,voice,
717,717,717,717,,305-571-2001,,,,voice,
719,719,719,717,,305-571-2001,,,,voice,
720,720,720,717,,305-571-2001,,,,voice,
721,721,721,721,,305-261-6202,,,,voice,
722,722,722,721,,305-261-6202,,,,voice,
723,723,723,721,,305-485-8832,,,,voice,
724,724,724,721,,305-552-8296,,,,voice,
736,736,736,736,,786-662-4000,,,,voice,
738,738,738,736,,786-662-5026,,,,voice,
740,740,740,736,,888-960-8529,,,,voice,
741,741,741,741,,305-538-8835,,,,voice,
742,742,742,741,,305-538-8835,,,,voice,
743,743,743,741,,305-538-8835,,,,voice,
744,744,744,741,,305-538-8835,,,,voice,
749,749,749,749,,305-887-8838,,,,voice,
751,751,751,751,,954-828-1822,,5.0,,voice,
752,752,752,751,,305-324-5683,,,,voice,
753,753,753,753,,954-981-2922,,,,voice,
754,754,754,753,,305-653-2921,,,,voice,
755,755,755,753,,305-273-8507,,,,voice,
756,756,756,753,,305-665-5143,,,,voice,
760,760,760,760,,305-594-7615,,374.0,,voice,
761,761,761,760,,305-242-5373,,,,voice,
762,762,762,760,,305-292-6762,,,,voice,
763,763,763,760,,305-654-7175,,245.0,,voice,
764,764,764,760,,305-228-2300,,,,voice,
765,765,765,760,,305-853-3540,,,,voice,
767,767,767,760,,305-883-8070,,,,voice,
768,768,768,760,,305-620-8012,,,,voice,
769,769,769,760,,305-532-5350,,,,voice,
770,770,770,760,,305-442-6900,,,,voice,
771,771,771,760,,305-693-2060,,,,voice,
772,772,772,760,,305-470-5627,,,,voice,
773,773,773,760,,305-252-4440,,,,voice,
774,774,774,774,,305-254-2163,,,,voice,
776,776,776,776,,954-567-4175,,,,voice,
778,778,778,778,,305-681-1594,,,,voice,
789,789,789,789,,305-825-0300,,,,voice,
790,790,790,789,,305-424-3120,,,,voice,
791,791,791,789,,305-424-3113,,,,voice,
792,792,792,789,,305-424-3130,,,,voice,
793,793,793,789,,954-342-0355,,,,voice,
794,794,794,789,,305-825-0300,,,,voice,
795,795,795,789,,305-424-3110,,,,voice,
796,796,796,789,,305-357-1748,,12460.0,,voice,
797,797,797,789,,305-823-0332,,,,voice,
798,798,798,789,,305-424-3064,,,,voice,
799,799,799,789,,305-884-1382,,,,voice,
800,800,800,789,,305-572-7123,,,,voice,
801,801,801,789,,305-424-3099,,,,voice,
804,804,804,789,,305-572-7123,,,,voice,
805,805,805,789,,305-424-3043,,,,voice,
806,806,806,806,,305-835-6000,,,,voice,
809,809,809,806,,305-835-6000,,,,voice,
812,812,812,806,,305-694-3409,,,,voice,
814,814,814,806,,305-694-4850,,,,voice,
816,816,816,806,,800-984-3434,,,,voice,
817,817,817,817,,305-893-1450,,,,voice,
818,818,818,817,,305-893-1450,,,,voice,
819,819,819,817,,305-893-1450,,,,voice,
820,820,820,817,,305-893-1450,,,,voice,
835,835,835,835,,305-635-0366,,,,voice,
838,838,838,835,,305-635-0366,,8486.0,,voice,
841,841,841,835,,305-635-0366,,,,voice,
842,842,842,835,,305-635-7444,,,,voice,
845,845,845,835,,305-635-7444,,,,voice,
846,846,846,835,,305-635-0366,,,,voice,
847,847,847,835,,305-635-0366,,8592.0,,voice,
850,850,850,850,,305-674-2121,,,,voice,
851,851,851,850,,305-298-6365,,,,voice,
852,852,852,850,,305-674-2229,,,,voice,
853,853,853,850,,305-674-2430,,,,voice,
855,855,855,850,,305-481-9811,,,,voice,
858,858,858,858,,305-646-4200,,,,voice,
859,859,859,858,,305-646-4200,,,,voice,
860,860,860,860,,305-757-0602,,,,voice,
861,861,861,860,,305-774-3600,,,,voice,
862,862,862,860,,305-644-2667,,,,voice,
864,864,864,860,,786-293-9544,,,,voice,
865,865,865,860,,305-774-3616,,,,voice,
868,868,868,860,,305-774-3300,,,,voice,
870,870,870,860,,305-774-3300,,,,voice,
871,871,871,860,,305-554-1456,,,,voice,
872,872,872,860,,305-774-3616,,,,voice,
873,873,873,860,,305-774-3600,,,,voice,
874,874,874,874,,305-856-2288,,,,voice,
875,875,875,874,,305-856-9830,,,,voice,
876,876,876,874,,786-362-7483,,,,voice,
877,877,877,874,,305-856-2288,,,,voice,
878,878,878,874,,305-856-2288,,,,voice,
879,879,879,874,,305-856-2288,,,,voice,
880,880,880,874,,305-856-2288,,,,voice,
881,881,881,874,,305-856-2288,,,,voice,
882,882,882,882,,305-751-8626,,,,voice,
892,892,892,882,,305-762-1420,,,,voice,
901,901,901,901,,305-416-1300,,,,voice,
903,903,903,901,,305-416-1300,,,,voice,
904,904,904,901,,305-960-4960,,2.0,,voice,
905,905,905,901,,305-759-3507,,,,voice,
906,906,906,906,,305-388-7774,,,,voice,
908,908,908,908,,305-666-6511,,,,voice,
909,909,909,908,,305-663-8439,,,,voice,
912,912,912,908,,954-385-6200,,,,voice,
913,913,913,908,,305-262-8300,,,,voice,
915,915,915,908,,305-221-3821,,,,voice,
917,917,917,908,,305-995-3993,,,,voice,
920,920,920,908,,305-220-1120,,,,voice,
921,921,921,921,,305-635-8953,,,,voice,
922,922,922,921,,305-636-3526,,,,voice,
924,924,924,921,,305-635-8953,,,,voice,
925,925,925,921,,305-246-8956,,,,voice,
926,926,926,921,,305-246-8956,,,,voice,
927,927,927,927,,305-673-7900,,,,voice,
929,929,929,927,,305-673-7945,,5214.0,,voice,
935,935,935,935,,305-673-7730,,,,voice,
936,936,936,935,,305-861-3616,,4848.0,,voice,
937,937,937,935,,305-673-7767,,4802.0,,voice,
942,942,942,935,,305-861-3616,,,,voice,
943,943,943,943,,305-385-9981,,,,voice,
944,944,944,943,,305-385-9981,,,,voice,
945,945,945,943,,305-385-9981,,,,voice,
946,946,946,943,,305-385-9981,,,,voice,
947,947,947,947,,305-854-4400,,,,voice,
951,951,951,947,,305-285-2929,,,,voice,
953,953,953,953,,305-382-9796,,,,voice,
954,954,954,953,,305-559-0004,,,,voice,
955,955,955,953,,305-382-9796,,,,voice,
956,956,956,953,,305-559-0004,,,,voice,
957,957,957,953,,305-382-9796,,,,voice,
958,958,958,953,,305-382-9796,,,,voice,
959,959,959,953,,305-559-0004,,,,voice,
960,960,960,960,,305-891-3131,,,,voice,
961,961,961,960,,305-891-3131,,,,voice,
963,963,963,960,,786-469-5151,,,,voice,
965,965,965,960,,786-469-5000,,,,voice,
966,966,966,960,,786-469-5028,,,,voice,
967,967,967,967,,305-235-8855,,,,voice,
982,982,982,982,,800-731-6306,,,,voice,
983,983,983,982,,800-731-6306,,,,voice,
984,984,984,982,,800-731-6306,,,,voice,
985,985,985,985,,305-948-2957,,,,voice,
986,986,986,985,,305-948-2972,,,,voice,
987,987,987,985,,305-957-3523,,,,voice,
988,988,988,985,,305-948-2957,,,,voice,
990,990,990,985,,305-652-3658,,,,voice,
991,991,991,985,,305-948-2915,,,,voice,
992,992,992,985,,305-948-2972,,,,voice,
998,998,998,998,,914-997-4488,,,,voice,
999,999,999,998,,305-477-1192,,,,voice,
1000,1000,1000,1000,,305-884-1101,,,,voice,
1002,1002,1002,1002,,602-279-9474,,,,voice,
1003,1003,1003,1002,,239-922-9474,,,,voice,
1004,1004,1004,1004,,877-275-6233,,,,voice,
1005,1005,1005,1004,,305-273-3744,,7233.0,,voice,
1006,1006,1006,1006,,305-682-7000,,,,voice,
1007,1007,1007,1006,,305-682-5245,,,,voice,
1008,1008,1008,1006,,305-682-7266,,,,voice,
1010,1010,1010,1010,,305-576-1000,,,,voice,
1013,1013,1013,1013,,305-856-4914,,,,voice,
1014,1014,1014,1013,,305-858-8050,,,,voice,
1015,1015,1015,1015,,305-858-0887,,,,voice,
1016,1016,1016,1015,,305-558-2570,,,,voice,
1018,1018,1018,1015,,305-532-8576,,1247.0,,voice,
1020,1020,1020,1015,,305-264-3751,,1247.0,,voice,
1022,1022,1022,1015,,305-649-5311,,1247.0,,voice,
1023,1023,1023,1015,,305-858-0887,,,,voice,
1025,1025,1025,1015,,305-233-7315,,1247.0,,voice,
1026,1026,1026,1015,,305-558-1089,,,,voice,
1027,1027,1027,1015,,305-856-6275,,,,voice,
1028,1028,1028,1015,,305-643-4114,,1247.0,,voice,
1033,1033,1033,1015,,305-856-4700,,1247.0,,voice,
1035,1035,1035,1015,,305-836-1234,,1241.0,,voice,
1036,1036,1036,1015,,305-672-3736,,1247.0,,voice,
1037,1037,1037,1015,,305-868-4020,,1247.0,,voice,
1038,1038,1038,1015,,305-532-4377,,,,voice,
1053,1053,1053,1053,,800-840-2720,,118.0,,voice,
1055,1055,1055,1055,,305-856-4886,,,,voice,
1057,1057,1057,1055,,305-856-4886,,,,voice,
1058,1058,1058,1055,,305-856-4886,,,,voice,
1059,1059,1059,1055,,305-856-4886,,,,voice,
1064,1064,1064,1064,,305-866-6567,,,,voice,
1066,1066,1066,1066,,305-696-0800,,,,voice,
1067,1067,1067,1066,,305-696-0800,,,,voice,
1072,1072,1072,1072,,305-593-3000,,,,voice,
1073,1073,1073,1072,,305-593-3000,,,,voice,
1074,1074,1074,1072,,305-593-3000,,3083.0,,voice,
1075,1075,1075,1072,,305-593-3000,,,,voice,
1076,1076,1076,1072,,888-419-3456,,,,voice,
1077,1077,1077,1072,,305-593-3000,,,,voice,
1078,1078,1078,1072,,305-593-3000,,,,voice,
1079,1079,1079,1079,,800-843-5678,,,,voice,
1081,1081,1081,1081,,305-262-0060,,,,voice,
1082,1082,1082,1081,,305-262-0060,,,,voice,
1084,1084,1084,1084,,305-693-6100,,,,voice,
1088,1088,1088,1088,,305-685-8201,,200.0,,voice,
1089,1089,1089,1088,,305-238-8500,,321.0,,voice,
1096,1096,1096,1096,,305-325-9114,,,,voice,
1097,1097,1097,1096,,305-325-9114,,,,voice,
1098,1098,1098,1096,,305-325-9114,,,,voice,
1099,1099,1099,1096,,305-326-4166,,,,voice,
1100,1100,1100,1096,,305-326-4205,,,,voice,
1101,1101,1101,1096,,305-326-4156,,,,voice,
1102,1102,1102,1096,,305-326-4156,,,,voice,
1103,1103,1103,1096,,305-326-9114,,,,voice,
1104,1104,1104,1096,,305-326-4166,,,,voice,
1105,1105,1105,1096,,305-326-4205,,,,voice,
1106,1106,1106,1106,,305-573-6665,,140.0,,voice,
1107,1107,1107,1106,,305-573-6665,,230.0,,voice,
1113,1113,1113,1113,,800-342-3552,,,,voice,
1114,1114,1114,1113,,800-342-3552,,,,voice,
1115,1115,1115,1113,,800-342-3552,,,,voice,
1119,1119,1119,1119,,888-831-0404,,,,voice,
1120,1120,1120,1119,,305-671-7245,,,,voice,
1122,1122,1122,1119,,786-336-1418,,,,voice,
1125,1125,1125,1125,,305-358-2081,,,,voice,
1126,1126,1126,1125,,305-358-2081,,,,voice,
1127,1127,1127,1125,,305-358-2081,,,,voice,
1128,1128,1128,1128,,877-693-5236,,,,voice,
1130,1130,1130,1128,,877-693-5236,,,,voice,
1131,1131,1131,1131,,863-687-8811,,,,voice,
1132,1132,1132,1131,,305-271-4121,,,,voice,
1136,1136,1136,1136,,305-349-7000,,,,voice,
1158,1158,1158,1158,,305-371-4706,,,,voice,
1159,1159,1159,1158,,305-371-4706,,,,voice,
1160,1160,1160,1160,,305-667-1036,,,,voice,
1161,1161,1161,1160,,305-667-1036,,1486.0,,voice,
1162,1162,1162,1160,,305-667-1036,,,,voice,
1164,1164,1164,1160,,305-667-1036,,,,voice,
1165,1165,1165,1160,,305-667-1036,,1581.0,,voice,
1166,1166,1166,1166,,850-410-7000,,,,voice,
1167,1167,1167,1166,,305-470-5500,,,,voice,
1168,1168,1168,1166,,850-410-7640,,,,voice,
1169,1169,1169,1166,,888-356-4774,,,,voice,
1184,1184,1184,1184,,800-669-4000,,,,voice,
1186,1186,1186,1186,,727-461-2990,,,,voice,
1187,1187,1187,1186,,786-703-1254,,,,voice,
1188,1188,1188,1188,,305-667-3647,,,,voice,
