id,name,alternate_name,description,email,website,legal_status,tax_status,tax_id,date_incorporated,accreditations,funding_sources,licenses
82,"CARE RESOURCE, INC.","COMMUNITY AIDS RESOURCE, INC.","Care Resource is one of the areas newest Federally Qualified Healthcare Centers serving clients in both Miami-Dade and Broward Counties. The agency provides easy, efficient access to a wide variety of quality health, prevention, education and psychosocial support services. Specific services offered include primary outpatient medical care, dental health care, case management, testing and counseling, women's programs, youth programs, food services, pharmacy and housing case management.",,http://www.careresource.org,,,,,,,
101,"JESSIE TRICE COMMUNITY HEALTH CENTER, INC.",JTCHC,"The Jessie Trice Community Health Center, Inc. (JTCHC), is a Florida 501 (c) 3, not-for-profit, Federally Qualified Health Center, which has been serving Miami-Dade County since 1967. The target population is the uninsured,underinsured, 95% of which live at or below the Federal Poverty Level of 200%.",,http://www.jtchc.org,,,,,,,
109,"INSTITUTE FOR CHILD AND FAMILY HEALTH, INC.","ICFH, Children's Psychiatric Center, Inc. (CPC)","Institute for Child and Family Health, Inc., provides a continuum of care to children, adolescents, and their families through a multidisciplinary team approach, that includes prevention and early intervention, outpatient and on-site mental health treatment, case management, pediatric primary care and educational services.  \r\n\r\nThe agency's goal is to provide high quality mental health, primary health, prevention and psycho-educational services to children and their families.",,http://www.icfhinc.org/default.asp,,,,,,,
123,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,CPC- Children Psychiatric Center,"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods. The program focuses on improving the childrenGÇÖs school readiness and success, while simultaneously supporting and guiding the parents through a childGÇÖs early development.\n\nPrimary Services:\n1) Home Visits\n2) Group Meetings\n3) Screenings\n4) Access to community resources",,http://www.icfhinc.org/default.asp,,,,,,,
135,"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE, INC.",NAACP,"The mission of the National Association for the Advancement of Colored People is to ensure the political, educational, social, and economic equality of rights of all persons and to eliminate race-based discrimination. \n\n###MON###\n###COL###",,http://www.naacp.org,,,,,,,
137,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.",,"The Girl Scout Council of Tropical Florida, Inc. is the preeminent local organization dedicated solely to all girls. Where, in an accepting and nurturing environment,girls build courage, confidence, and character. In partnership with committed adult volunteers, girls develop qualities that will serve them all their lives, such as, leadership, strong values, social conscience, and conviction about their own potential and self-worth.\n\n###MON###",,http://www.girlscoutsfl.org,,,,,,,
138,GIRL SCOUTS - ACADEMIC AFTER SCHOOL PROGRAM,G.S. Academic Tutoring/Mentoring Program,"The Daily Academic Afterschool Program provides tutoring and mentoring programs during the school year to approximately 180 girls and their siblings, from ages 5 to 10, or in grades K to 5th, from low income migrant/farm worker families living in South Miami Dade. The program, delivered at West Homestead Elementary, Pine Lake Elementary, and Florida City Elementary provides daily academic enhancement to foster literacy, math, science and communication skills, along with family interactive experiences which enables children to successfully complete their school grade. The children are also able to participate in a spring break camp.",,http://girlscoutsfl.org,,,,,,,
144,OFFICE OF THE ATTORNEY GENERAL,,"The Office of the Attorney General, through the Division of Victim Services and Criminal Justice Programs, administers the Crimes Compensation Trust Fund. The division is comprised of the Bureau of Victim Compensation, the Bureau of Criminal Justice Programs, and the Bureau of Advocacy and Grants Management. Working in concert, the division seeks to meet the needs of crime victims by providing financial assistance through the victims compensation program; specialized direct services programs throughout the state. Additionally, the division is responsible for the allocation of the VOCA assistance grants to public and not for profit agencies and is responsible for the Address Confidentiality Program.\n\n###MON###\n###COL###",,http://www.myfloridalegal.com,,,,,,,
146,MIAMI-DADE COUNTY BUILDING AND NEIGHBORHOOD COMPLIANCE DEPARTMENT,M-DC BUILDING AND NEIGHBORHOOD COMPLIANCE DEPARTMENT,"Building and Neighborhood Compliance is committed to maintaining neighborhoods and improving the quality of life in our community. We provide residential and commercial code compliance services in unincorporated Miami-Dade County. \n\nWe emphasize community education and voluntary compliance while seeking solutions for citizen concerns. Our main objective is to address violations such as overgrown lots, junk and trash, abandoned vehicles, graffiti, illegal signs in the right-of-way, zoning violations and other neighborhood maintenance regulations; in order to enhance life safety and aesthetics in our community.",,http://www.miamidade.gov/building/neighborhood-compliance.asp,,,,,,,
148,"UNITED WAY OF MIAMI-DADE, INC.",,"United Way brings us together as a community to focus on the human care issues that matter most. It is a powerful partnership that improves people's lives and strengthens our community.  \n\nIn Miami Dade, we have a plan to achieve measurable outcomes in the areas of helping kids and families lead successful lives, improve health and independence, responding to emergency and basic needs, and encouraging neighborhood and civic involvement.",,http://unitedwaymiami.org,,,,,,,
150,SALVATION ARMY,,"The Salvation Army, the largest charity in the world, present in over 5,000 communities, has been serving Miami-Dade since 1913 through shelters, rehabilitation centers, emergency food, rental assistance, emergency disaster services, Christmas assistance, daily community outreach programs and more. Every year 34 million Americans turn to The Salvation Army nationwide.",,http://www.salvationarmymiami.com,,,,,,,
165,MIAMI-DADE GOVERNMENT INFORMATION CENTER,,"The Government Information Center provides access to government services through our web portal miamidade.gov and the 3-1-1 Answer Center, the Miami-Dade's multi-jurisdictional call center for non-emergency government services.",,http://www.miamidade.gov/information/311-service-center.asp,,,,,,,
167,"SABER COLLEGE, INC.",,"Provides on the job training and employability skills training. Provides an ESOL program (5 levels), NCLEX-prep course for applicants who hold an RN degree in their country of origin, Practical Nursing (PN), Nursing AS program, LPN to Nursing AS program, and non-degree academic programs.",,http://saberschool.com/,,,,,,,
171,"REDLANDS CHRISTIAN MIGRANT ASSOCIATION - MIAMI, INC.",RCMA,"The Redlands Christian Migrant Association provides quality child care and early education for children of migrant farm workers and rural, low-income families throughout Florida. The largest non-profit child-care provider in Florida, RCMA is a leader in high-quality early childhood services. More than half of RCMA's child-care centers are nationally accredited.\r\n\r\n###COL###",,http://www.rcma.org,,,,,,,
182,"UNITED HOMECARE, INC.","UHCS, United HomeCare Services, Inc.","Provides personalized quality care and in-home services to assist adults over 60, disabled adults 18-59, and their caregivers to live at home independently.",,http://www.unitedhomecare.com,,,,,,,
191,MIAMI SHORES RECREATION DEPARTMENT,,"The Recreation Department strives to provide the residents of Miami Shores Village with the best in leisure programs and recreational facilities. The Department is comprised of several divisions: Administration, Aquatic Center, Athletics, Community Center, Tennis Center and Special Events. Programs are designed to provide an uplifting experience for the participants and/or spectators.",,http://www.miamishoresvillage.com/village-department/recreation,,,,,,,
193,CITY OF MIAMI - POLICE DEPARTMENT,,"Responsible for enforcing laws and ordinances of the City of Miami, preventing crime, investigating criminal activity, apprehending, arresting and detaining suspects, presenting evidence, regulating traffic, and investigating traffic accidents. Also sponsors the Police Explorers and an athletic program for youth. The Victim Advocate Service for victims of crime.",,http://www.miami-police.org,,,,,,,
207,JACKSON COMMUNITY MENTAL HEALTH CENTER,,"Jackson North Community Mental Health Center (Jackson North CMHC) is a community-based, multi-service that provides comprehensive behavioral healthcare services for co-occurring adults and children with severe persistent mental illness and substance abuse problems. These services are provided for residents in the north and northwestern sections of Miami-Dade County. \n\nThe Center specializes in the provision of:\n \n* Adult Mental Health and Substance Abuse Services\n* Adult Case Management\n* Psychosocial Rehabilitation Services \n* Children's Mental Health and Substance Abuse Services\n* Children's Case Management Services\n* Individual and Group Therapy \n* Crisis Stabilization and Detoxification Services\n* Anger and Stress Management \n* Adult and Child Medication Management\n* Temporary Assistance for Needy Families (TANF)",,http://www.jhsmiami.org,,,,,,,
217,VITAS HEALTHCARE CORPORATION,,"VITAS is headquartered in Miami, Florida, and operates 49 hospice programs in 16 states and the District of Columbia. VITAS employs 11,773 professionals who care for terminally ill patients daily-primarily in the patientsGÇÖ homes, but also in the companyGÇÖs 34 inpatient hospice units as well as in hospitals, nursing homes and assisted living communities/residential care facilities. VITAS team members include registered nurses, licensed practical nurses, home health aides, physicians, social workers, chaplains and other caregiving professionals.\n\n###COL###\n###MON###",,http://www.vitas.com,,,,,,,
222,"FLORIDA LAWYERS ASSISTANCE, INC.",,"Florida Lawyers Assistance, Inc. is a non-profit corporation formed in 1986 in response to the Florida Supreme CourtGÇÖs mandate that a program be created to identify and offer assistance to bar members who suffer from substance abuse, mental health, or other disorders which negatively affect their lives and careers.\r\n\r\nJudges, attorneys, law students, and support personnel who seek the assistance of FLA need not worry that FLA will report them to the Bar, the Board of Bar Examiners, or their employer. Information is shared with these entities only if the participating individual signs a waiver of confidentiality.  \r\n\r\n###COL### \r\n###MON###",,http://www.fla-lap.org,,,,,,,
226,"GUARDIANSHIP PROGRAM OF DADE COUNTY, INC.",,"Provides legal guardianship to adults 18 years of age and older who have been adjudicated legally incapacitated by the probate court, who have no relatives or friends willing or able to act as legal guardian and the legally incapacitated person is indigent. Assists with the health and welfare of legally incapacitated persons by using community resources to assure that their basic needs are met. Also acts as a monitor and an advocate to ensure that each ward receives benefits he/she is entitled to.",,http://www.guardianshipprogram.org,,,,,,,
228,"CAMILLUS HEALTH CONCERN, INC.",CAMILLUS HEALTH,"Camillus Health Concern's services include adult primary care, pediatric services, women's preventive health services, HIV/AIDS/STD/TB prevention, screening and treatment, mental health services, oral health services and case management. Integration with other Camillus House programs-CHC's sister organization, such as the Camillus Life Center (intensive outpatient substance abuse treatment); Camillus Housing Services; Camillus Emergency Services, ensures that patients have access to a comprehensive continuum of care services.\n\nTo facilitate access to care, Transportation Services includes van transportation, taxi, and tokens for the bus and metro rail.",,http://www.camillus.org,,,,,,,
236,U.S. SMALL BUSINESS ADMINISTRATION,SBA,"The SBA promotes the interests of small businesses by providing technical and financial assistance. Information package available to anyone interested in starting a business. While SBA does not make loans directly, you can find a local lender who can help you with your loan application.\r\n\r\nBrevard, Broward, Charlotte, Collier, Desoto, Glades, Hardee, Hendry, Highlands, Hillsborough, Indian River, Lee, Manatee, Martin, Miami-Dade, Monroe, Okeechobee, Osceola, Palm Beach, Pasco, Pinellas, Polk, Saint Lucie, Sarasota.\r\n\r\n###MON###\r\n###COL###",,http://www.sba.gov/about-offices-content/2/3109,,,,,,,
238,"MIAMI RESCUE MISSION, INC.",,"Provides refuge, food, comfort, care and spiritual guidance to homeless men, women, and children in two separate structures. Facilities include a 214-bed Men's Center and a 40-bed Women and Children's Center. The women shelter also offers overnight accommodations. The residential programs offer counseling, education and job referral services to help re-establish clients as productive citizens.",,http://www.miamirescuemission.org,,,,,,,
247,"LUTHERAN SERVICES FLORIDA, INC.",LSF,"Lutheran Services Florida (LSF) is a statewide, non-profit, human services agency dedicated to helping all people in need regardless of religious affiliation, age or national origin. The agency has more than 60 programs located throughout Florida. \n\nServices provided include: the Child Care Food Program, PEPPI Head Start Child Development Center, Foster and Adoptions Case Management, Youth Shelters and Family Crisis Counseling Programs, Guardianship Program, Housing, Employment, Refugee and Immigration Programs, Ryan White AIDS Program, and Disaster Response Programs for victims of tornadoes, hurricanes, floods and other natural disasters. GÇï\n\n###MON###\n###COL###",,http://www.lsfnet.org,,,,,,,
293,AMERICAN LUNG ASSOCIATION IN FLORIDA,,"The American Lung Association of the Southeast serves Florida, Georgia, and South Carolina with critical programs and services designed to reach everyone affected by lung disease.",,http://www.lungfla.org,,,,,,,
295,"LUPUS FOUNDATION OF FLORIDA, INC.",,"Provides public awareness. Offers support groups, information, meetings, referrals to medical providers, educational seminars, outreach coordination, and patient education for lupus patients. Books and pamphlets available. Research and studies information available. Publishes a quarterly and monthly newsletter. Members also belong to the national foundation.\n\n###COL###\n###MON###",,http://www.lupusflorida.org/,,,,,,,
297,CORAL GABLES POLICE DEPARTMENT,,The City of Coral Gables Police Department is responsible for enforcing all laws and ensuring public safety in the City of Coral Gables.,,http://www.coralgables.com/index.aspx?page=1015,,,,,,,
304,"FLORIDA INTERNATIONAL UNIVERSITY, INC.",FIU,"Florida International University is a student-centered public research university, offering bachelor's, master's, and doctoral degrees.",,http://www.fiu.edu,,,,,,,
313,"IMPROVING LIVES COMMUNITY MENTAL HEALTH CENTER, INC.",,"Provides individual therapy (children, adolescent and adult), family counseling, couples communications, substance abuse counseling and DUI groups. Also provides an intensive out patient program.",,http://www.improvinglivestoday.com,,,,,,,
315,AMERICAN ASSOCIATION OF RETIRED PERSONS,AARP,"AARP is a national, membership organization that advocates for individuals age 50 and older. Members need not be retired. Provides information on aging issues, educational material and courses, conducts research and offers a variety of volunteer opportunities and community services. They also sponsor the ""Alive 55"" driver's education classes for older drivers and the Tax Aid program to assist with income tax preparation.\n\n###MON###\n###COL###",,http://www.aarp.org,,,,,,,
319,MIAMI-DADE ECONOMIC ADVOCACY TRUST,MDEAP,Miami-Dade Economic Advocacy TrustGÇÖs mission is to ensure the equitable participation of Blacks in Miami-Dade County's economic growth through advocacy and monitoring of economic conditions and economic development initiatives in Miami-Dade County.,,http://www.miamidade.gov/mdeat,,,,,,,
323,U.S. SOCIAL SECURITY ADMINISTRATION,United States Social Security Administration,"Provides monthly income for insured retired persons, for eligible survivors of deceased workers and for disabled workers who are not capable of gainful work. Local offices issue new or duplicate Social Security cards, enroll persons over 65 in Medicare and process applications. Most transactions can be handled by calling the 800 number.\n\n###MON###\n###COL###",,http://www.ssa.gov,,,,,,,
332,HOMESTEAD POLICE DEPARTMENT,,"Responsible for enforcing all laws and ordinances of Homestead, preventing crime, investigating criminal activity, apprehending, arresting and detaining suspects, presenting evidence, regulating traffic and investigating accidents. Also provides a police athletic league and community building services.",,http://www.homesteadpolice.com,,,,,,,
348,"COALITION OF FLORIDA FARMWORKER ORGANIZATIONS, INC.",COFFO,COFFO is a statewide organization whose main objective is to enhance the living and working conditions of migrant and seasonal farmworkers and the rural poor in Florida.,,http://www.coffo.org,,,,,,,
360,CITY OF SOUTH MIAMI PARKS AND RECREATION DEPARTMENT,,"Administers South MiamiGÇÖs parks, open spaces, and recreation programs for many benefits, ranging from the pursuit of educational, cultural, health and fitness to out-of-school camps and programs, sports development, and special events. Dedicated to serving the community as a whole, the City of South Miami Parks and Recreation Department welcomes all people regardless of gender, age, ability or socio-economic status.",,http://www.southmiamifl.gov/Index.aspx?NID=149,,,,,,,
363,SOUTH FLORIDA AIDS NETWORK,SFAN,"Established by Jackson Memorial Hospital in 1986, the South Florida AIDS Network (SFAN) was the first organization in Miami-Dade County to provide client advocacy/case management and related support services to people with HIV/AIDS. SFAN is now a large comprehensive HIV/AIDS service provider in Miami-Dade County.",,http://www.jacksonhealth.org/services-sfan.asp,,,,,,,
368,"WOMEN & TEENS HEALTHCARE, INC.",,"Serves women and teens of all ages and their male partners; GYN services including PAP, Pelvic, STD & HIV screening, pregnancy testing, laboratory screening (blood, sperm count, etc). Offers counseling on all issues related to family planning, sexuality, women's health, relationships, menstruation. Seminars for teens, menopause and beyond. Abortions on site. Provides counseling for sexual abuse, relationships, sexual fulfillment, and enrichment, etc. Provides referrals to prenatal care and delivery sites in Miami-Dade & Broward County. Private counseling for sexual abuse and foster care children. Extensive, age appropriate educational hand outs.",,http://www.womenandteens.com,,,,,,,
374,"PLANNED PARENTHOOD OF SOUTH FLORIDA AND TREASURE COAST, INC.",,"Provides community education, peer education programs, teen clinic, and reproductive health services.",,http://www.plannedparenthood.org/ppsoflo/,,,,,,,
381,"HEALTH CHOICE NETWORK, INC.",HCN,"Health Choice Network, Inc. is a nation-wide collaboration among health centers, health center controlled networks and partners. By providing key business services, strategic initiatives and the latest in health information technology, participants can improve patient outcomes through increased efficiencies and more accessible care.",,http://www.hcnetwork.org,,,,,,,
386,"FAMILY RESOURCE CENTER OF SOUTH FLORIDA, INC.",,"The Center's mission is the prevention and treatment of child abuse and neglect through strengthening of families services including full case management, outpatient mental health counseling, substance abuse counseling, parent education and adoption placement.",,http://www.frcflorida.org,,,,,,,
388,"HOUSING DEVELOPMENT CORPORATION OF SW FLORIDA, INC.",,"HDC is a HUD-certified 501(c)3 non-profit organization serving Southwest Florida. Services include very low, low and moderate income housing assistance to purchase a home, Fair Housing outreach and Homebuyer Education, HUD-certified credit and foreclosure counseling, and money management workshops. \n\n###COL###",,http://www.collierhousing.com,,,,,,,
390,NATIONAL MULTIPLE SCLEROSIS SOCIETY,NMSS,"Provides counseling, community services, information and referral, and maintains a loan equipment closet for patients with no insurance or Medicare.",,http://www.nationalmssociety.org,,,,,,,
392,MIAMI-DADE POLICE DEPARTMENT,M-DC POLICE DEPARTMENT,"Responsible for enforcing laws and ordinances, crime prevention, criminal investigations, apprehending, arresting and detaining suspects, presenting evidence, regulating traffic, and engaging in other activities that protect lives, property and peace in Miami-Dade County.",,http://www.miamidade.gov/Police/,,,,,,,
418,MIAMI-DADE COUNTY REGULATORY AND ECONOMIC RESOURCES,"M-DC RER, Formerly CONSUMER SERVICES DEPARTMENT (CSD)","The Miami-Dade Regulatory and Economic Resources Department is charged with educating, informing and protecting consumers. We enforce consumer protection laws and business regulations, licenses certain businesses, and investigates and mediates consumer complaints. We also provide research and educational services targeted to agricultural producers, youth and families.",,http://www.miamidade.gov/business,,,,,,,
425,"MACTOWN, INC.",,Provides a variety of services to developmentally disabled individuals and assist them to reach their performance potential in daily living and vocational skills. \n\nProporciona una variedad de servicios a las personas con discapacidades de desarrollo y ayudarles a alcanzar su potencial de rendimiento en la vida diaria y la formaci+¦n profesional .,,http://www.mactown.org,,,,,,,
432,DADE LEGAL AID,,"Dade Legal Aid provides free quality legal services to Miami-Dade County's indigent population. It specifically provides free legal representation in family law, domestic violence actions, divorce, custody, paternity, guardianship, housing and bankruptcy. It also provides free legal services to indigent undocumented residents in housing and public benefits actions.",,http://www.dadelegalaid.org/,,,,,,,
435,CARECONNECT USA,,"CareConnect USA offers programs to assist callers in financial crisis. Those programs include mortgage payment assistance, tax relief, child support assistance, bankruptcy assistance, debt counseling and collector complaints.\n\n###COL###\n###MON###",,http://www.careconnectusa.org,,,,,,,
447,"GREATER MIAMI YOUTH FOR CHRIST, INC.",,"Greater Miami Youth for Christ provides an after school program for students in kindergarten through fifth grade. The program offers homework help, literature activities, physical education, social skills, character building, Bible club, and special family nights. GMYC helps kids improve their educational skills in reading, writing, math, social skills, and physical fitness.",,http://www.miamiyfc.com,,,,,,,
449,H.O.P.E. INC.,"HOPE, Inc.","Housing Opportunities Project for Excellence (HOPE), Inc. seeks to make fair housing a reality in South Florida by providing education, community outreach, and private enforcement of local and federal housing laws.",,http://www.hopefhc.com,,,,,,,
451,"HEARING AND SPEECH CENTER OF FLORIDA, INC.",,Hearing and Speech Center of Florida offers comprehensive therapy services including hearing testing and the dispensing of hearing aids. Services can be provided in the schools or in the office. Services offered are:\n\n* Speech Therapy\n* Occupational Therapy\n* Physical Therapy (must be enrolled in Early Steps first),,http://www.hearingandspeechcenter.org,,,,,,,
460,"O'FARRILL LEARNING CENTER, INC.",,"OGÇÖFarrill Learning Center is a private, non-profit, 501(c)3 organization dedicated to the education of young children ages 3 to 11. Our goal is to serve the multicultural community with the appropriate developmental activities for children and social supportive services for their families. Our center has been providing educational services for over 11 years and is accredited by the National Association for the Education of Young Children (NAEYC). OGÇÖFarrill Learning Center serves low-income families and is funded by the Head Start program, a national initiative to assist families in becoming self-sufficient and providing free child care for their children, and also by The Children's Trust.",,,,,,,,,
466,U.S. DEPARTMENT OF VETERAN AFFAIRS,VA,The VA is a government-run military veteran benefit system.\n\n###MON###\n###COL###,,http://www.va.gov,,,,,,,
481,EPILEPSY FOUNDATION OF FLORIDA,EFOF,"The mission of the Epilepsy Foundation of Florida is to advocate for, and to provide education and assistance to, people with Epilepsy and their families. Direct services include: case management, medical services to clients, individual and family counseling, neuropsychological testing and evaluations, support groups and network educational sessions.\r\n\r\n###MON###\r\n###COL###",,http://epilepsyfla.org,,,,,,,
486,"DOUGLAS GARDENS COMMUNITY MENTAL HEALTH CENTER, INC.",DOUGLAS GARDENS CMHC,The Douglas Gardens Community Mental Health Center provides comprehensive mental health services to people living in the Greater Miami Beach area.,,http://www.dgcmhc.org/,,,,,,,
498,FUN TIME EARLY CHILDHOOD ACADEMY INC.,,"The mission of Fun Time is to provide safe, quality, affordable education and care for children of low income working families and to prepare the children for kindergarten ready to read and ready to learn. Fun Time provides a year round education to 2-5 year old children using the Creative Curriculum. All children are screened, assessed, observed and provided an individualized program that meets and exceeds the Florida Performance Standards, Head Start and VPK Standards. Fun Time is a Head Start provider and Voluntary Prekindergarten provider. Free nutritious breakfast, lunch and snack provided. \r\n\r\n###COL###",,http://www.funtimeacademy.org,,,,,,,
500,"DIABETES RESEARCH INSTITUTE FOUNDATION, INC.",,"Dedicated to improving the quality of life for the millions of people living with Diabetes, and providing information about current research and treatment.",,http://www.DiabetesResearch.org,,,,,,,
502,"UNIDAD OF MIAMI BEACH, INC.",Miami Beach Hispanic Community Center,"Unidad of Miami Beach, Inc. is a non-profit agency that provides a wide range of social services, including employment assistance to the job-seeking public, a refugee program, elderly services, nutrition education, oral health services, a veterans program and much more, in the spirit of preserving and promoting the vibrant ethnic, racial, religious and cultural diversity of the Miami Beach community.",,http://www.unidadmb.org/,,,,,,,
504,MIAMI-DADE COUNTY OFFICE OF COMMUNITY ADVOCACY,"OCAd, M-DC OFFICE OF COMMUNITY ADVOCACY","The Office of Community Advocacy (OCAd) is charged with making Miami-Dade County ""One Community"" that embraces our diverse enriched and unique population.",,http://www.miamidade.gov/advocacy/,,,,,,,
510,"CROHN'S & COLITIS FOUNDATION OF AMERICA, INC.",CCFA,"CCFA is dedicated to finding a cure for Crohn's disease and ulcerative colitis and to improving the quality of life for those afflicted with these illnesses. Maintains a coordinated national program of research and education, and helps patients and their families by offering mutual support programs.",,http://www.ccfa.org,,,,,,,
514,UNIVERSITY OF MIAMI - DEPARTMENT OF PEDIATRICS,UM,"The Department of Pediatrics at the University of Miami School of Medicine is nationally and internationally acclaimed for education, research, patient care, and biomedical innovation.\n\nYoung patients come to UM from all over the world to receive quality care delivered with compassion by outstanding pediatric specialists and other skilled medical professionals. As part of the University of Miami School of Medicine, the Department of Pediatrics is integrated into a dynamic research environment where innovative and effective treatments and cures are under development.",,http://www.pediatrics.med.miami.edu,,,,,,,
529,"THE ARTHRITIS FOUNDATION, INC.",,"The Arthritis Foundation's mission is to improve lives through leadership in the prevention, control and cure of arthritis and related diseases.\n\n###MON###\n###COL###",,http://www.arthritis.org,,,,,,,
