id,organization_id,name,alternate_name
54,54,FLORIDA DEPARTMENT OF BUSINESS AND PROFESSIONAL REGULATION,
56,56,"CHILDREN'S TUMOR FOUNDATION, INC.",
58,58,CARLOS ALBIZU UNIVERSITY (MIAMI CAMPUS),Caribbean Center for Advanced Studies - Miami Institute of Psychology
59,58,CARLOS ALBIZU UNIVERSITY - GOODMAN PSYCHOLOGICAL SERVICES CENTER,GOODMAN CENTER
60,60,CITY OF MIAMI - NEIGHBORHOOD ENHANCEMENT TEAMS,NET
63,60,NET - LITTLE HAVANA,
64,60,NET - ADMINISTRATION OFFICE,
65,60,NET - WYNWOOD/EDGEWATER,
66,60,NET - LITTLE HAITI,
67,60,NET - UPPER EAST SIDE,
68,60,NET - MODEL CITY,
69,60,NET - ALLAPATTAH,
70,60,NET - OVERTOWN,
71,60,NET - DOWNTOWN/BRICKELL,
73,60,NET - WEST FLAGLER/FLAGAMI,
74,60,NET - CORAL WAY,
75,60,NET - COCONUT GROVE,
76,76,"HIALEAH HOUSING AUTHORITY, INC.",
77,76,HIALEAH HOUSING - PUBLIC HOUSING PROGRAM,
78,76,HIALEAH HOUSING AUTHORITY - HOT LUNCH PROGRAM,
79,76,HIALEAH HOUSING AUTHORITY - WILLIAM LEHMAN DAYCARE,
82,82,"CARE RESOURCE, INC.","COMMUNITY AIDS RESOURCE, INC."
83,82,CARE RESOURCE - ARTAS MIAMI,Community AIDS Resource Inc.
86,82,CARE RESOURCE - CASE MANAGEMENT,Community AIDS Resource Inc.
90,82,CARE RESOURCE - COUNSELING SERVICES,
93,82,CARE RESOURCE - HEALTH PROMOTION AND PREVENTION,HIP
95,82,CARE RESOURCE - FREE HIV TESTING,
96,82,FOOD FOR LIFE NETWORK - NUTRITIONAL COUNSELING AND REFERRAL,
97,82,FOOD FOR LIFE NETWORK - HOME DELIVERED MEALS AND FOOD BANK,
98,82,CARE RESOURCE - MEDICAID WAIVER,
99,82,CARE RESOURCE - PSYCHOLOGICAL SERVICES,
100,82,CARE RESOURCE - PRIMARY MEDICAL CARE SERVICE,
101,101,"JESSIE TRICE COMMUNITY HEALTH CENTER, INC.",JTCHC
103,101,JESSIE TRICE - JTCHC MAIN CENTER,"JESSIE TRICE COMMUNITY HEALTH CENTER, JTCHC"
104,101,JESSIE TRICE - JEFFERSON REAVES WOMEN'S RESIDENTIAL,"JESSIE TRICE COMMUNITY HEALTH CENTER, JTCHC"
105,101,JESSIE TRICE - JTCHC NORTH,"JESSIE TRICE COMMUNITY HEALTH CENTER, JTCHC"
106,101,JESSIE TRICE - JTCHC DENTAL CENTER MIAMI GARDENS,"JESSIE TRICE COMMUNITY HEALTH CENTER, JTCHC"
108,101,JESSIE TRICE - FLAMINGO CENTER,"JESSIE TRICE COMMUNITY HEALTH CENTER, JTCHC"
109,109,"INSTITUTE FOR CHILD AND FAMILY HEALTH, INC.","ICFH, Children's Psychiatric Center, Inc. (CPC)"
111,109,ICFH - PROFESSIONAL TRAINING PROGRAMS - INSERVICE TRAINING PROGRAM,
112,109,ICFH - CHILD AND FAMILY COUNSELING - BEHAVIORAL HEALTH OUTREACH PROGRAM,CPC- Children Psychiatric Center
114,109,ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS),CPC- Children Psychiatric Center
117,109,ICFH - VIOLENCE PREVENTION - EMANCIPATION PROGRAM,CPC- Children Psychiatric Center
5698,5694,SDA - BETHANY (MIAMI),
5699,5694,SDA - BRADMORE SPANISH,Iglesia Adventista Hispana de Bradmore
118,109,ICFH - VIOLENCE PREVENTION - STOP NOW AND PLAN (SNAP),CPC- Children Psychiatric Center
119,109,ICFH - VIOLENCE PREVENTION - FUNCTIONAL FAMILY THERAPY (FFT),CPC- Children Psychiatric Center
120,109,ICFH - VIOLENCE PREVENTION - SERIOUS HABITUAL OFFENDER SIBLINGS PROGRAM,CPC- Children Psychiatric Center
122,109,ICFH - HEALTH AND WELLNESS - PARENT AND CHILD ENRICHMENT PROGRAM (PACE),CPC- Children Psychiatric Center
123,109,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,CPC- Children Psychiatric Center
124,109,ICFH - CHILD AND FAMILY COUNSELING - BEHAVIORAL HEALTH SPECIALTY NETWORK (BNET),CPC- Children Psychiatric Center
125,109,ICFH - CHILD AND FAMILY COUNSELING - PARENT ENRICHMENT PROGRAM,CPC- Children Psychiatric Center
5706,5694,SDA - FILADELFIA SPANISH,
127,109,ICFH - CHILD AND FAMILY COUNSELING - OUTPATIENT PROGRAM - NORTH,"Children's Psychiatric Center, Inc. (CPC)"
128,109,ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE MANAGEMENT,CPC- Children Psychiatric Center
132,109,ICFH - VIOLENCE PREVENTION - FAMILY EMPOWERMENT PROGRAM,CPC- Children Psychiatric Center
134,109,ICFH - CHILD & FAMILY COUNSELING - INFANT MENTAL HEALTH PROGRAMS,CPC- Children Psychiatric Center
135,135,"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE, INC.",NAACP
136,135,NAACP - MIAMI DADE COUNTY BRANCH,NAACP
137,137,"GIRL SCOUTS COUNCIL OF TROPICAL FLORIDA, INC.",
138,137,GIRL SCOUTS - ACADEMIC AFTER SCHOOL PROGRAM,G.S. Academic Tutoring/Mentoring Program
141,137,GIRL SCOUTS - DECISIONS FOR YOUR LIFE,
144,144,OFFICE OF THE ATTORNEY GENERAL,
145,144,OFFICE OF THE ATTORNEY GENERAL - BUREAU OF VICTIM COMPENSATION,
146,146,MIAMI-DADE COUNTY BUILDING AND NEIGHBORHOOD COMPLIANCE DEPARTMENT,M-DC BUILDING AND NEIGHBORHOOD COMPLIANCE DEPARTMENT
148,148,"UNITED WAY OF MIAMI-DADE, INC.",
150,150,SALVATION ARMY,
151,150,SALVATION ARMY - DONATION CENTER,
152,150,SALVATION ARMY - THRIFT STORE #4,
153,150,SALVATION ARMY - WOMEN & CHILDREN'S LODGE,
157,150,SALVATION ARMY - MEN'S LODGE,
159,150,SALVATION ARMY - THRIFT STORE #1,
160,150,SALVATION ARMY,
161,150,SALVATION ARMY - COMMUNITY PANTRY,
162,150,SALVATION ARMY - HERE'S HOPE,
163,150,SALVATION ARMY - SFAN EMERGENCY SHELTER,
164,150,SALVATION ARMY - ADULT REHABILITATION CENTER,
165,165,MIAMI-DADE GOVERNMENT INFORMATION CENTER,
166,165,3-1-1 ANSWER CENTER,
167,167,"SABER COLLEGE, INC.",
171,171,"REDLANDS CHRISTIAN MIGRANT ASSOCIATION - MIAMI, INC.",RCMA
172,171,RCMA - MIAMI - FERNANDO PRO JUNIOR CHILD DEVELOPMENT CENTER,RCMA
173,171,RCMA - MIAMI - EVERGLADES I CHILD DEVELOPMENT CENTER,RCMA
174,171,RCMA - MIAMI - CENTRO VILLAS CHILD DEVELOPMENT CENTER,RCMA
175,171,RCMA - MIAMI - SOUTH DADE CHILD DEVELOPMENT CENTER,RCMA
176,171,RCMA - MIAMI - EVERGLADES II CHILD DEVELOPMENT CENTER,RCMA
177,171,RCMA - MIAMI - REDLANDS CHILD DEVELOPMENT CENTER,RCMA
182,182,"UNITED HOMECARE, INC.","UHCS, United HomeCare Services, Inc."
183,182,UNITED HOME CARE - HOME HEALTH AGENCY SERVICES,
184,182,UNITED HOMECARE - HOME-BASED SERVICES FOR ELDERLY AND DISABLED,
185,182,UNITED HOME CARE - EMERGENCY RESPITE SERVICES,
186,182,UNITED HOME CARE - LONG TERM CARE,
5710,5694,SDA - KENDALL,
188,182,UNITED HOME CARE - DISABLED ADULTS,CCDA
190,182,UNITED HOME CARE - IN-HOME COUNSELING,Mental Health Counseling
191,191,MIAMI SHORES RECREATION DEPARTMENT,
193,193,CITY OF MIAMI - POLICE DEPARTMENT,
198,193,CITY OF MIAMI POLICE - MARINE PATROL/UNDER WATER RECOVERY,MPD
200,193,CITY OF MIAMI POLICE - COMMUNITY INVOLVEMENT,
202,193,CITY OF MIAMI POLICE - POLICE ATHLETIC LEAGUE,PAL
204,193,CITY OF MIAMI POLICE - VICTIM ADVOCATE SERVICES,
207,207,JACKSON COMMUNITY MENTAL HEALTH CENTER,
208,207,JACKSON CMHC - CHILD CASE MANAGEMENT,"Jackson  Community Mental Health Center, JCMHC"
209,207,JACKSON CMHC - CHILD OUTPATIENT SERVICES,"Jackson  Community Mental Health Center, JCMHC"
211,207,JACKSON CMHC - DETOX UNIT,Jackson Community Mental Health Center
212,207,JACKSON CMHC - ADULT OUTPATIENT,JACKSON COMMUNITY MENTAL HEALTH CENTER
213,207,JACKSON CMHC - TANF,"Jackson  Community Mental Health Center, JCMHC"
214,207,JACKSON CMHC - ADULT CASE MANAGEMENT,"Jackson  Community Mental Health Center, JCMHC"
215,207,JACKSON BHH - PSYCHOSOCIAL REHABILITATION SERVICES,"Jackson Behavioral Health Hospital , JBHH"
216,207,JACKSON CMHC - CRISIS STABILIZATION UNIT,Jackson  Community Mental Health Center
217,217,VITAS HEALTHCARE CORPORATION,
218,217,VITAS - HOSPICE,VITAS Healthcare Corporation
219,217,VITAS - BEREAVEMENT SUPPORT GROUPS,VITAS Healthcare Corporation
222,222,"FLORIDA LAWYERS ASSISTANCE, INC.",
226,226,"GUARDIANSHIP PROGRAM OF DADE COUNTY, INC.",
228,228,"CAMILLUS HEALTH CONCERN, INC.",CAMILLUS HEALTH
232,228,CAMILLUS HEALTH CONCERN - PEDIATRIC CARE,
236,236,U.S. SMALL BUSINESS ADMINISTRATION,SBA
237,236,U.S. SMALL BUSINESS ADMINISTRATION - DISASTER LOANS,SBA
238,238,"MIAMI RESCUE MISSION, INC.",
239,238,MIAMI RESCUE MISSION - CENTER FOR WOMEN AND CHILDREN,
240,238,MIAMI RESCUE MISSION - COMMUNITY ACTIVITY CENTER,
242,238,MIAMI RESCUE MISSION - VOLUNTEER PROGRAM,
243,238,MIAMI RESCUE MISSION - CENTER FOR MEN,
247,247,"LUTHERAN SERVICES FLORIDA, INC.",LSF
249,247,LUTHERAN SERVICES - HOUSING,
293,293,AMERICAN LUNG ASSOCIATION IN FLORIDA,
295,295,"LUPUS FOUNDATION OF FLORIDA, INC.",
297,297,CORAL GABLES POLICE DEPARTMENT,
299,297,CORAL GABLES POLICE DEPARTMENT -  VICTIM WITNESS UNIT,
304,304,"FLORIDA INTERNATIONAL UNIVERSITY, INC.",FIU
309,304,FIU - CHILDHOOD ANXIETY PHOBIA PROGRAM (CAPP),
311,304,FIU - VICTIM EMPOWERMENT PROGRAM,
312,304,FIU - BRIDGE AND UNION POSITIVA: FREE HIV/STD TESTING ON FIU CAMPUS,FIU BRIDGE
313,313,"IMPROVING LIVES COMMUNITY MENTAL HEALTH CENTER, INC.",
315,315,AMERICAN ASSOCIATION OF RETIRED PERSONS,AARP
316,315,AARP - FLORIDA,AARP
318,315,AARP - SENIOR COMMUNITY SERVICE EMPLOYMENT PROGRAM,AARP FOUNDATION/SCSEP
319,319,MIAMI-DADE ECONOMIC ADVOCACY TRUST,MDEAP
320,319,MDEAT - TEEN COURT,MIAMI-DADE ECONOMIC ADVOCACY TRUST
321,319,MDEAT - HOMEOWNERSHIP ASSISTANCE PROGRAM,Miami-Dade Economic Advocacy Trust
323,323,U.S. SOCIAL SECURITY ADMINISTRATION,United States Social Security Administration
324,323,SOCIAL SECURITY - LITTLE RIVER BRANCH OFFICE,
325,323,SOCIAL SECURITY - ALLAPATTAH BRANCH OFFICE,
326,323,SOCIAL SECURITY - MIAMI BEACH BRANCH OFFICE,
327,323,SOCIAL SECURITY - LITTLE HAVANA BRANCH OFFICE,
328,323,SOCIAL SECURITY - HIALEAH BRANCH OFFICE,
329,323,SOCIAL SECURITY - MIAMI NORTH - DISTRICT OFFICE,
330,323,SOCIAL SECURITY - MIAMI SOUTH - DISTRICT OFFICE,
331,323,SOCIAL SECURITY - PERRINE BRANCH OFFICE,
332,332,HOMESTEAD POLICE DEPARTMENT,
333,332,HOMESTEAD POLICE - S.O.S. - START OFF SMART,
334,332,HOMESTEAD POLICE - POLICE ATHLETIC LEAGUE,
348,348,"COALITION OF FLORIDA FARMWORKER ORGANIZATIONS, INC.",COFFO
349,348,COFFO - AFTER SCHOOL AND SUMMER PROGRAM,
350,348,COFFO - EMERGENCY ASSISTANCE,
351,348,COFFO - IMMIGRATION SERVICES,
352,348,COFFO - INCOME TAX PREPARATION,
360,360,CITY OF SOUTH MIAMI PARKS AND RECREATION DEPARTMENT,
361,360,CITY OF SOUTH MIAMI - SENIOR CENTER AND PROGRAMS,
362,360,CITY OF SOUTH MIAMI - GIBSON-BETHEL COMMUNITY CENTER,
363,363,SOUTH FLORIDA AIDS NETWORK,SFAN
368,368,"WOMEN & TEENS HEALTHCARE, INC.",
374,374,"PLANNED PARENTHOOD OF SOUTH FLORIDA AND TREASURE COAST, INC.",
375,374,PLANNED PARENTHOOD - KENDALL HEALTH CENTER,PLANNED PARENTHOOD OF SOUTH FLORIDA AND TREASURE COAST
376,374,PLANNED PARENTHOOD - JEAN SHEHAN HEALTH CENTER,PLANNED PARENTHOOD OF SOUTH FLORIDA AND TREASURE COAST
381,381,"HEALTH CHOICE NETWORK, INC.",HCN
382,381,HEALTH CHOICE NETWORK - HEALTH CONNECT IN OUR SCHOOLS,
386,386,"FAMILY RESOURCE CENTER OF SOUTH FLORIDA, INC.",
387,386,FAMILY RESOURCE CENTER - PARENT EDUCATION PROGRAM,Family Resource Center or FRC
388,388,"HOUSING DEVELOPMENT CORPORATION OF SW FLORIDA, INC.",
389,388,HOUSING DEVELOPMENT CORPORATION OF SW FLORIDA - FORECLOSURE PREVENTION COUNSELING,
390,390,NATIONAL MULTIPLE SCLEROSIS SOCIETY,NMSS
391,390,THE NATIONAL MULTIPLE SCLEROSIS SOCIETY - SOUTH FLORIDA CHAPTER,
392,392,MIAMI-DADE POLICE DEPARTMENT,M-DC POLICE DEPARTMENT
395,392,MIAMI-DADE POLICE - AIRPORT DISTRICT,
396,392,MIAMI-DADE POLICE - MIDWEST DISTRICT,
398,392,MIAMI-DADE POLICE - COMMUNICATIONS BUREAU,
399,392,MIAMI-DADE POLICE - NORTHSIDE DISTRICT,
400,392,MIAMI-DADE POLICE - D.A.R.E.,"Drug Abuse Resistance Education, DARE"
404,392,MIAMI-DADE POLICE - INTRACOASTAL DISTRICT,
406,392,MIAMI-DADE POLICE - SPECIAL VICTIMS BUREAU,
409,392,MIAMI-DADE POLICE - CITIZEN'S POLICE ACADEMY,
410,392,MIAMI-DADE POLICE - KENDALL DISTRICT,
411,392,MIAMI-DADE POLICE - CITIZENS' VOLUNTEER PROGRAM,
412,392,MIAMI-DADE POLICE - NORTHWEST DISTRICT,
413,392,MIAMI-DADE POLICE - WEST DISTRICT,
414,392,MIAMI-DADE POLICE - SOUTH DISTRICT,
416,392,MIAMI-DADE POLICE - ROBBERY BUREAU,
417,392,MIAMI-DADE POLICE - NARCOTICS BUREAU,
418,418,MIAMI-DADE COUNTY REGULATORY AND ECONOMIC RESOURCES,"M-DC RER, Formerly CONSUMER SERVICES DEPARTMENT (CSD)"
420,418,M-DC REGULATORY AND ECONOMIC RESOURCES - CONSUMER PROTECTION DIVISION,Formerly CONSUMER SERVICES DEPARTMENT (CSD)
425,425,"MACTOWN, INC.",
428,425,MACTOWN - INTERMEDIATE CARE FACILITY,
429,425,MACTOWN - SKILL ACQUISTION CENTER,
432,432,DADE LEGAL AID,
433,432,DADE LEGAL AID - PUT SOMETHING BACK,PRO BONO
435,435,CARECONNECT USA,
437,435,CARECONNECT - BANKRUPTCY HOTLINE,
438,435,CARECONNECT - CHILD-CARE SUBSIDY HOTLINE,
440,435,CARECONNECT - DEBT RELIEF HELPLINE,
441,435,CARECONNECT - CHILD SUPPORT ENFORCEMENT HOTLINE,
442,435,CARECONNECT - NATIONAL MORTGAGE RELIEF HOTLINE,
447,447,"GREATER MIAMI YOUTH FOR CHRIST, INC.",
448,447,KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS,
449,449,H.O.P.E. INC.,"HOPE, Inc."
450,449,H.O.P.E. INC - WE FIGHT HOUSING DISCRIMINATION,"Housing Opportunites Project for Excellence, Inc., HOPE Inc."
451,451,"HEARING AND SPEECH CENTER OF FLORIDA, INC.",
460,460,"O'FARRILL LEARNING CENTER, INC.",
461,460,O'FARRILL LEARNING CENTER - SHINING STARS AFTER SCHOOL PROGRAM,
462,460,O'FARRILL LEARNING CENTER - SHINING STARS SUMMER PROGRAM,
466,466,U.S. DEPARTMENT OF VETERAN AFFAIRS,VA
467,466,VA - THE BRUCE W. CARTER DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,"U.S. DEPARTMENT OF VETERAN AFFAIRS, VA HOSPITAL"
468,466,VA - MILITARY SEXUAL TRAUMA TREATMENT,U.S. DEPARTMENT OF VETERAN AFFAIRS
469,466,VA - KEY LARGO COMMUNITY BASED OUTPATIENT CLINIC,U.S. DEPARTMENT OF VETERAN AFFAIRS
471,466,VA - PEMBROKE PINES/HOLLYWOOD COMMUNITY BASED OUTPATIENT CLINIC,U.S. DEPARTMENT OF VETERAN AFFAIRS
472,466,VA - MIAMI OUTPATIENT SUBSTANCE ABUSE CLINIC,U.S. DEPARTMENT OF VETERAN AFFAIRS
473,466,VA - HOMESTEAD COMMUNITY BASED OUTPATIENT CLINIC,U.S. DEPARTMENT OF VETERAN AFFAIRS
474,466,VA - HEALTHCARE FOR HOMELESS VETERANS,HEALTH CARE FOR HOMELESS VETERANS
475,466,VA - KEY WEST OUTPATIENT CLINIC,U.S. DEPARTMENT OF VETERAN AFFAIRS
476,466,VA - WILLIAM 'BILL' KLING VA OUTPATIENT CLINIC,U.S. DEPARTMENT OF VETERAN AFFAIRS
481,481,EPILEPSY FOUNDATION OF FLORIDA,EFOF
482,481,EPILEPSY FOUNDATION - SUPPORT GROUPS - MIAMI,"EFOF, EPILEPSY FOUNDATION OF FLORIDA"
483,481,EPILEPSY FOUNDATION - MEDICAL SERVICES,"EFOF, EPILEPSY FOUNDATION OF FLORIDA"
484,481,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,"EFOF, EPILEPSY FOUNDATION OF FLORIDA"
485,481,EPILEPSY FOUNDATION - PREVENTION AND EDUCATION,"EFOF, EPILEPSY FOUNDATION OF FLORIDA"
486,486,"DOUGLAS GARDENS COMMUNITY MENTAL HEALTH CENTER, INC.",DOUGLAS GARDENS CMHC
490,486,DOUGLAS GARDENS CMHC - DOMESTIC VIOLENCE PROGRAM,
491,486,DOUGLAS GARDENS CMHC - MENTAL HEALTH SERVICES,
493,486,DOUGLAS GARDENS CMHC - HOMELESS SERVICES,
498,498,FUN TIME EARLY CHILDHOOD ACADEMY INC.,
500,500,"DIABETES RESEARCH INSTITUTE FOUNDATION, INC.",
501,500,DIABETES RESEARCH INSTITUTE FOUNDATION - UHEALTH AT HIALEAH,
502,502,"UNIDAD OF MIAMI BEACH, INC.",Miami Beach Hispanic Community Center
504,504,MIAMI-DADE COUNTY OFFICE OF COMMUNITY ADVOCACY,"OCAd, M-DC OFFICE OF COMMUNITY ADVOCACY"
505,504,M-DC OFFICE OF COMMUNITY ADVOCACY - COMMUNITY RELATIONS BOARD,OCAd
506,504,M-DC OFFICE OF COMMUNITY ADVOCACY - HISPANIC AFFAIRS ADVISORY BOARD,
507,504,M-DC OFFICE OF COMMUNITY ADVOCACY - BLACK AMERICAN ADVISORY BOARD,
508,504,M-DC OFFICE OF COMMUNITY ADVOCACY - COMMISSION FOR WOMEN BOARD,
509,504,M-DC OFFICE OF COMMUNITY ADVOCACY - ASIAN AMERICAN ADVISORY BOARD,
510,510,"CROHN'S & COLITIS FOUNDATION OF AMERICA, INC.",CCFA
511,510,CROHN'S & COLITIS FOUNDATION OF AMERICA - FLORIDA CHAPTER,
512,510,CROHN'S & COLITIS FOUNDATION OF AMERICA - FLORIDA CHAPTER - SUPPORT GROUP - UNIVERSITY OF MIAMI,
514,514,UNIVERSITY OF MIAMI - DEPARTMENT OF PEDIATRICS,UM
515,514,UNIVERSITY OF MIAMI - DEPARTMENT OF PEDIATRICS - CRITICAL CARE,UM
516,514,UNIVERSITY OF MIAMI - DEPARTMENT OF PEDIATRICS - CARDIOLOGY,UM
527,514,UM - SPECIAL ADOLESCENT CLINIC (SAC),Mailman Center
528,514,UM - PEDIATRIC AND ADOLESCENT MEDICINE,
529,529,"THE ARTHRITIS FOUNDATION, INC.",
530,529,ARTHRITIS FOUNDATION - FLORIDA CHAPTER,
531,531,"CONCEPT HEALTH SYSTEMS, INC.",
532,531,CONCEPT HEALTH SYSTEMS - RESIDENTIAL TREATMENT,
533,531,CONCEPT HEALTH SYSTEMS - OUTPATIENT PROGRAM,
534,534,"NAMI OF MIAMI, INC.",NAMI
535,534,NAMI - PEER TO PEER COURSE,NAMI
536,534,NAMI - FAMILY SUPPORT GROUP - HOMESTEAD,NAMI
537,534,NAMI - FAMILY SUPPORT GROUP - PALMETTO BAY,NAMI
538,534,NAMI - FAMILY SUPPORT GROUP - KENDALL,NAMI
540,534,NAMI - FAMILY TO FAMILY COURSE,
542,542,THE BARNYARD,"COCONUT GROVE CARES, INC."
543,542,THE BARNYARD - SUMMER PROGRAM,"COCONUT GROVE CARES, INC."
544,542,THE BARNYARD - AFTER SCHOOL PROGRAM,"COCONUT GROVE CARES, INC."
545,542,THE BARNYARD - COMMUNITY CENTER,"COCONUT GROVE CARES, INC."
546,546,"ABUNDANT LIVING CITI CHURCH, INC.",
547,546,ABUNDANT LIVING CITI CHURCH - HIGHER GROUND YOUTH PREVENTION PROGRAM,
548,548,"COMMUNITIES IN SCHOOLS OF MIAMI, INC.",CIS
554,548,COMMUNITIES IN SCHOOLS OF MIAMI - BRIDGES TO GRADUATION,CIS of Miami
555,548,COMMUNITIES IN SCHOOLS - AMERICORPS MIAMI READS,CIS
558,548,COMMUNITIES IN SCHOOLS - ALTERNATIVE TO SUSPENSION,CIS
559,559,"CARE CLUB OF COLLIER COUNTY, INC.",
561,561,"CHILDREN'S HOME SOCIETY OF FLORIDA, INC.",
562,561,CHILDREN'S HOME SOCIETY - ADOPTIONS,
563,561,CHILDREN'S HOME SOCIETY - FAMILY VISITATION CENTER,
564,561,CHILDREN'S HOME SOCIETY - MCLAMORE EMERGENCY SHELTER,
565,561,CHILDREN'S HOME SOCIETY - HEALTHY FAMILIES MIAMI-DADE PROGRAM,
566,561,CHILDREN'S HOME SOCIETY - TEEN GROUP HOME PROGRAM,
567,561,CHILDREN'S HOME SOCIETY - SUPPORTED FOSTER CARE (SFC),SFC
569,561,CHILDREN'S HOME SOCIETY - SPECIAL NEEDS CHILDCARE,
577,577,"THE ADVOCACY NETWORK ON DISABILITIES, INC.","CCDH, Inc."
579,577,THE ADVOCACY NETWORK ON DISABILITIES - ADVOCACY,"CCDH, Inc."
580,577,THE ADVOCACY NETWORK ON DISABILITIES - IN-HOME SUPPORTS,CCDH
581,577,THE ADVOCACY NETWORK ON DISABILITIES - ACT PROVIDER RESOURCE NETWORK,CCDH
584,584,THE COUNSELING GROUP,
586,584,THE COUNSELING GROUP - A TIME TO HEAL,
588,588,BORINQUEN MEDICAL CENTERS OF MIAMI-DADE,
594,588,BORINQUEN - WEST DADE/SWEETWATER,
595,595,KAYLEEN'S LEARNING CENTER,
596,595,KAYLEEN'S LEARNERS - KENDALL,
597,597,"VILLA MARIA NURSING & REHAB CENTER, INC.",
602,602,"CENTRO MATER CHILDCARE CENTER, INC.",Centro Mater East and Centro Mater West
603,602,CENTRO MATER CHILDCARE - EAST,
604,602,CENTRO MATER CHILDCARE - WEST II,
605,602,CENTRO MATER CHILDCARE - SUMMER CAMP - WEST II,
606,602,CENTRO MATER CHILDCARE - WEST I,
607,602,CENTRO MATER CHILDCARE - SUMMER CAMP - WEST I,
608,602,CENTRO MATER CHILDCARE - SUMMER CAMP - EAST,
619,619,THE WOW CENTER,FORMERLY THE COMMUNITY HABILITATION CENTER
622,622,"CASA VALENTINA, INC.",
624,624,HAITIAN AMERICAN COMMUNITY DEVELOPMENT CORPORATION,LITTLE HAITI HOUSING ASSOCIATION
625,624,HACDC - AFFORDABLE HOUSING,LITTLE HAITI HOUSING ASSOCIATION
626,626,"ANGEL FLIGHT SOUTHEAST, INC.",
628,628,"LE JARDIN COMMUNITY CENTER, INC.",
630,628,LE JARDIN COMMUNITY CENTER - SITE I,
631,628,LE JARDIN COMMUNITY CENTER - SITE II,
632,628,LE JARDIN COMMUNITY CENTER - SITE III,
633,628,LE JARDIN COMMUNITY CENTER - SITE V,
639,639,"FLORIDA INITIATIVE FOR SUICIDE PREVENTION, INC.",FISP
640,639,FISP - SUICIDE SURVIVOR SUPPORT GROUP - WESTON,FISP
642,639,FISP - SUICIDE SURVIVOR SUPPORT GROUP - MIAMI,FISP
644,644,CORAL GABLES HOSPITAL,
650,650,WLRN PUBLIC RADIO,
651,650,WLRN - RADIO READING SERVICE,
652,652,"WOMEN'S EMERGENCY NETWORK, INC.",WEN
654,654,FLORIDA DEPARTMENT OF EDUCATION - VOCATIONAL REHABILITATION SERVICES,
655,654,FL DOE - VOCATIONAL REHAB - JMH UNIT,
656,654,FL DOE - VOCATIONAL REHAB - CUTLER RIDGE,
657,654,FL DOE - VOCATIONAL REHAB - HIALEAH / DORAL UNIT,
658,654,FL DOE - VOCATIONAL REHAB - KENDALL UNIT,
659,654,FL DOE - VOCATIONAL REHAB - MENTAL HEALTH UNIT,
660,654,FL DOE - VOCATIONAL REHAB - NORTHEAST UNIT,
661,654,FL DOE - VOCATIONAL REHAB - TRANSITION UNIT - BISCAYNE,
662,654,FL DOE - VOCATIONAL REHAB - WEST DADE UNIT,
